region,period,total,year,month
total national,2020-12,69201.0,2020,12
total national,2020-11,0.0,2020,11
total national,2020-10,242288.0,2020,10
total national,2020-09,549738.0,2020,9
total national,2020-08,1351549.0,2020,8
total national,2020-07,998134.0,2020,7
total national,2020-06,347488.0,2020,6
total national,2020-05,0.0,2020,5
total national,2020-04,0.0,2020,4
total national,2020-03,42819.0,2020,3
total national,2020-02,137942.0,2020,2
total national,2020-01,77307.0,2020,1
total national,2019-12,130922.0,2019,12
total national,2019-11,136078.0,2019,11
total national,2019-10,260311.0,2019,10
total national,2019-09,496646.0,2019,9
total national,2019-08,1451555.0,2019,8
total national,2019-07,1026395.0,2019,7
total national,2019-06,795042.0,2019,6
total national,2019-05,393803.0,2019,5
total national,2019-04,454820.0,2019,4
total national,2019-03,202342.0,2019,3
total national,2019-02,106396.0,2019,2
total national,2019-01,65871.0,2019,1
total national,2018-12,121602.0,2018,12
total national,2018-11,127005.0,2018,11
total national,2018-10,251180.0,2018,10
total national,2018-09,537141.0,2018,9
total national,2018-08,1355065.0,2018,8
total national,2018-07,994071.0,2018,7
total national,2018-06,661579.0,2018,6
total national,2018-05,336580.0,2018,5
total national,2018-04,329027.0,2018,4
total national,2018-03,309192.0,2018,3
total national,2018-02,88907.0,2018,2
total national,2018-01,68000.0,2018,1
total national,2017-12,118158.0,2017,12
total national,2017-11,103360.0,2017,11
total national,2017-10,245632.0,2017,10
total national,2017-09,496892.0,2017,9
total national,2017-08,1312489.0,2017,8
total national,2017-07,1033155.0,2017,7
total national,2017-06,692842.0,2017,6
total national,2017-05,341874.0,2017,5
total national,2017-04,541831.0,2017,4
total national,2017-03,163295.0,2017,3
total national,2017-02,96089.0,2017,2
total national,2017-01,69534.0,2017,1
total national,2016-12,106554.0,2016,12
total national,2016-11,94155.0,2016,11
total national,2016-10,221538.0,2016,10
total national,2016-09,464656.0,2016,9
total national,2016-08,1297486.0,2016,8
total national,2016-07,1019323.0,2016,7
total national,2016-06,586804.0,2016,6
total national,2016-05,336286.0,2016,5
total national,2016-04,252121.0,2016,4
total national,2016-03,338177.0,2016,3
total national,2016-02,91492.0,2016,2
total national,2016-01,75940.0,2016,1
total national,2015-12,102860.0,2015,12
total national,2015-11,96570.0,2015,11
total national,2015-10,216596.0,2015,10
total national,2015-09,395576.0,2015,9
total national,2015-08,1186797.0,2015,8
total national,2015-07,888742.0,2015,7
total national,2015-06,555889.0,2015,6
total national,2015-05,358587.0,2015,5
total national,2015-04,381374.0,2015,4
total national,2015-03,156365.0,2015,3
total national,2015-02,74628.0,2015,2
total national,2015-01,62489.0,2015,1
total national,2014-12,96543.0,2014,12
total national,2014-11,91877.0,2014,11
total national,2014-10,180945.0,2014,10
total national,2014-09,389000.0,2014,9
total national,2014-08,1188904.0,2014,8
total national,2014-07,815557.0,2014,7
total national,2014-06,536374.0,2014,6
total national,2014-05,321629.0,2014,5
total national,2014-04,381411.0,2014,4
total national,2014-03,126510.0,2014,3
total national,2014-02,73955.0,2014,2
total national,2014-01,51698.0,2014,1
total national,2013-12,79093.0,2013,12
total national,2013-11,95188.0,2013,11
total national,2013-10,167221.0,2013,10
total national,2013-09,355282.0,2013,9
total national,2013-08,1157671.0,2013,8
total national,2013-07,828419.0,2013,7
total national,2013-06,521347.0,2013,6
total national,2013-05,289446.0,2013,5
total national,2013-04,216612.0,2013,4
total national,2013-03,247785.0,2013,3
total national,2013-02,66584.0,2013,2
total national,2013-01,49659.0,2013,1
total national,2012-12,76433.0,2012,12
total national,2012-11,79551.0,2012,11
