region,period,total,year,month
01 andalucã­a,2014-02,2.46,2014,2
01 andalucã­a,2014-01,2.49,2014,1
02 aragã³n,2025-02,2.04,2025,2
02 aragã³n,2025-01,2.01,2025,1
02 aragã³n,2024-12,1.86,2024,12
02 aragã³n,2024-11,1.89,2024,11
02 aragã³n,2024-10,1.86,2024,10
02 aragã³n,2024-09,1.88,2024,9
02 aragã³n,2024-08,2.05,2024,8
02 aragã³n,2024-07,1.99,2024,7
02 aragã³n,2024-06,1.83,2024,6
02 aragã³n,2024-05,1.83,2024,5
02 aragã³n,2024-04,1.82,2024,4
02 aragã³n,2024-03,2.0,2024,3
02 aragã³n,2024-02,2.07,2024,2
02 aragã³n,2024-01,2.04,2024,1
02 aragã³n,2023-12,1.85,2023,12
02 aragã³n,2023-11,1.92,2023,11
02 aragã³n,2023-10,1.94,2023,10
02 aragã³n,2023-09,1.89,2023,9
02 aragã³n,2023-08,2.05,2023,8
02 aragã³n,2023-07,2.03,2023,7
02 aragã³n,2023-06,1.93,2023,6
02 aragã³n,2023-05,1.91,2023,5
02 aragã³n,2023-04,1.96,2023,4
02 aragã³n,2023-03,2.06,2023,3
02 aragã³n,2023-02,2.18,2023,2
02 aragã³n,2023-01,2.08,2023,1
02 aragã³n,2022-12,1.98,2022,12
02 aragã³n,2022-11,1.92,2022,11
02 aragã³n,2022-10,1.97,2022,10
02 aragã³n,2022-09,1.95,2022,9
02 aragã³n,2022-08,2.12,2022,8
02 aragã³n,2022-07,2.04,2022,7
02 aragã³n,2022-06,1.92,2022,6
02 aragã³n,2022-05,1.93,2022,5
02 aragã³n,2022-04,1.99,2022,4
02 aragã³n,2022-03,2.15,2022,3
02 aragã³n,2022-02,2.13,2022,2
02 aragã³n,2022-01,2.15,2022,1
02 aragã³n,2021-12,2.05,2021,12
02 aragã³n,2021-11,1.85,2021,11
02 aragã³n,2021-10,1.93,2021,10
02 aragã³n,2021-09,1.91,2021,9
02 aragã³n,2021-08,2.18,2021,8
02 aragã³n,2021-07,2.11,2021,7
02 aragã³n,2021-06,1.86,2021,6
02 aragã³n,2021-05,1.83,2021,5
02 aragã³n,2021-04,1.94,2021,4
02 aragã³n,2021-03,1.88,2021,3
02 aragã³n,2021-02,2.04,2021,2
02 aragã³n,2021-01,2.03,2021,1
02 aragã³n,2020-12,1.97,2020,12
02 aragã³n,2020-11,2.31,2020,11
02 aragã³n,2020-10,2.03,2020,10
02 aragã³n,2020-09,1.92,2020,9
02 aragã³n,2020-08,2.19,2020,8
02 aragã³n,2020-07,2.03,2020,7
02 aragã³n,2020-06,1.97,2020,6
02 aragã³n,2020-05,3.01,2020,5
02 aragã³n,2020-04,0.0,2020,4
02 aragã³n,2020-03,2.09,2020,3
02 aragã³n,2020-02,2.1,2020,2
02 aragã³n,2020-01,2.02,2020,1
02 aragã³n,2019-12,1.97,2019,12
02 aragã³n,2019-11,1.87,2019,11
02 aragã³n,2019-10,1.87,2019,10
02 aragã³n,2019-09,1.91,2019,9
02 aragã³n,2019-08,2.1,2019,8
02 aragã³n,2019-07,2.0,2019,7
02 aragã³n,2019-06,1.86,2019,6
02 aragã³n,2019-05,1.8,2019,5
02 aragã³n,2019-04,1.88,2019,4
02 aragã³n,2019-03,1.97,2019,3
02 aragã³n,2019-02,2.0,2019,2
02 aragã³n,2019-01,2.02,2019,1
02 aragã³n,2018-12,1.92,2018,12
02 aragã³n,2018-11,1.83,2018,11
02 aragã³n,2018-10,1.9,2018,10
02 aragã³n,2018-09,1.9,2018,9
02 aragã³n,2018-08,2.08,2018,8
02 aragã³n,2018-07,1.97,2018,7
02 aragã³n,2018-06,1.84,2018,6
02 aragã³n,2018-05,1.81,2018,5
02 aragã³n,2018-04,1.87,2018,4
02 aragã³n,2018-03,2.02,2018,3
02 aragã³n,2018-02,2.07,2018,2
02 aragã³n,2018-01,2.08,2018,1
02 aragã³n,2017-12,1.94,2017,12
02 aragã³n,2017-11,1.88,2017,11
02 aragã³n,2017-10,1.91,2017,10
02 aragã³n,2017-09,1.86,2017,9
02 aragã³n,2017-08,2.08,2017,8
02 aragã³n,2017-07,1.98,2017,7
02 aragã³n,2017-06,1.83,2017,6
02 aragã³n,2017-05,1.83,2017,5
02 aragã³n,2017-04,1.94,2017,4
02 aragã³n,2017-03,1.96,2017,3
02 aragã³n,2017-02,2.01,2017,2
02 aragã³n,2017-01,1.99,2017,1
02 aragã³n,2016-12,1.88,2016,12
02 aragã³n,2016-11,1.79,2016,11
02 aragã³n,2016-10,1.84,2016,10
02 aragã³n,2016-09,1.84,2016,9
02 aragã³n,2016-08,2.11,2016,8
02 aragã³n,2016-07,2.0,2016,7
02 aragã³n,2016-06,1.82,2016,6
02 aragã³n,2016-05,1.82,2016,5
02 aragã³n,2016-04,1.75,2016,4
02 aragã³n,2016-03,2.09,2016,3
02 aragã³n,2016-02,2.03,2016,2
02 aragã³n,2016-01,2.04,2016,1
02 aragã³n,2015-12,1.86,2015,12
02 aragã³n,2015-11,1.84,2015,11
02 aragã³n,2015-10,1.87,2015,10
02 aragã³n,2015-09,1.85,2015,9
02 aragã³n,2015-08,2.09,2015,8
02 aragã³n,2015-07,1.94,2015,7
02 aragã³n,2015-06,1.78,2015,6
02 aragã³n,2015-05,1.78,2015,5
02 aragã³n,2015-04,1.86,2015,4
02 aragã³n,2015-03,1.99,2015,3
02 aragã³n,2015-02,1.96,2015,2
02 aragã³n,2015-01,2.01,2015,1
02 aragã³n,2014-12,1.85,2014,12
02 aragã³n,2014-11,1.76,2014,11
02 aragã³n,2014-10,1.81,2014,10
02 aragã³n,2014-09,1.83,2014,9
02 aragã³n,2014-08,2.09,2014,8
02 aragã³n,2014-07,1.95,2014,7
02 aragã³n,2014-06,1.79,2014,6
02 aragã³n,2014-05,1.84,2014,5
02 aragã³n,2014-04,1.9,2014,4
02 aragã³n,2014-03,1.96,2014,3
02 aragã³n,2014-02,1.91,2014,2
02 aragã³n,2014-01,2.07,2014,1
"03 asturias, principado de",2025-02,1.78,2025,2
"03 asturias, principado de",2025-01,1.85,2025,1
"03 asturias, principado de",2024-12,1.91,2024,12
"03 asturias, principado de",2024-11,1.95,2024,11
"03 asturias, principado de",2024-10,1.92,2024,10
"03 asturias, principado de",2024-09,2.07,2024,9
"03 asturias, principado de",2024-08,2.36,2024,8
"03 asturias, principado de",2024-07,2.18,2024,7
"03 asturias, principado de",2024-06,1.98,2024,6
"03 asturias, principado de",2024-05,1.79,2024,5
"03 asturias, principado de",2024-04,1.85,2024,4
"03 asturias, principado de",2024-03,1.96,2024,3
"03 asturias, principado de",2024-02,1.83,2024,2
"03 asturias, principado de",2024-01,1.91,2024,1
"03 asturias, principado de",2023-12,1.97,2023,12
"03 asturias, principado de",2023-11,1.91,2023,11
"03 asturias, principado de",2023-10,1.98,2023,10
"03 asturias, principado de",2023-09,2.0,2023,9
"03 asturias, principado de",2023-08,2.45,2023,8
"03 asturias, principado de",2023-07,2.25,2023,7
"03 asturias, principado de",2023-06,1.98,2023,6
"03 asturias, principado de",2023-05,1.83,2023,5
"03 asturias, principado de",2023-04,2.01,2023,4
"03 asturias, principado de",2023-03,1.92,2023,3
"03 asturias, principado de",2023-02,1.86,2023,2
"03 asturias, principado de",2023-01,1.91,2023,1
"03 asturias, principado de",2022-12,1.99,2022,12
"03 asturias, principado de",2022-11,1.96,2022,11
"03 asturias, principado de",2022-10,2.05,2022,10
"03 asturias, principado de",2022-09,2.13,2022,9
"03 asturias, principado de",2022-08,2.45,2022,8
"03 asturias, principado de",2022-07,2.28,2022,7
"03 asturias, principado de",2022-06,2.08,2022,6
"03 asturias, principado de",2022-05,1.97,2022,5
"03 asturias, principado de",2022-04,2.06,2022,4
"03 asturias, principado de",2022-03,1.9,2022,3
"03 asturias, principado de",2022-02,1.85,2022,2
"03 asturias, principado de",2022-01,1.87,2022,1
"03 asturias, principado de",2021-12,1.99,2021,12
"03 asturias, principado de",2021-11,1.94,2021,11
"03 asturias, principado de",2021-10,2.02,2021,10
"03 asturias, principado de",2021-09,2.15,2021,9
"03 asturias, principado de",2021-08,2.58,2021,8
"03 asturias, principado de",2021-07,2.31,2021,7
"03 asturias, principado de",2021-06,1.96,2021,6
"03 asturias, principado de",2021-05,1.85,2021,5
"03 asturias, principado de",2021-04,2.01,2021,4
"03 asturias, principado de",2021-03,2.04,2021,3
"03 asturias, principado de",2021-02,2.13,2021,2
"03 asturias, principado de",2021-01,2.09,2021,1
"03 asturias, principado de",2020-12,1.96,2020,12
"03 asturias, principado de",2020-11,2.17,2020,11
"03 asturias, principado de",2020-10,1.92,2020,10
"03 asturias, principado de",2020-09,2.13,2020,9
"03 asturias, principado de",2020-08,2.53,2020,8
"03 asturias, principado de",2020-07,2.29,2020,7
"03 asturias, principado de",2020-06,1.8,2020,6
"03 asturias, principado de",2020-05,2.7,2020,5
"03 asturias, principado de",2020-04,0.0,2020,4
"03 asturias, principado de",2020-03,1.92,2020,3
"03 asturias, principado de",2020-02,1.83,2020,2
"03 asturias, principado de",2020-01,1.87,2020,1
"03 asturias, principado de",2019-12,1.91,2019,12
"03 asturias, principado de",2019-11,1.97,2019,11
"03 asturias, principado de",2019-10,2.04,2019,10
"03 asturias, principado de",2019-09,2.12,2019,9
"03 asturias, principado de",2019-08,2.5,2019,8
"03 asturias, principado de",2019-07,2.29,2019,7
"03 asturias, principado de",2019-06,2.01,2019,6
"03 asturias, principado de",2019-05,1.97,2019,5
"03 asturias, principado de",2019-04,2.0,2019,4
"03 asturias, principado de",2019-03,1.79,2019,3
"03 asturias, principado de",2019-02,1.78,2019,2
"03 asturias, principado de",2019-01,1.84,2019,1
"03 asturias, principado de",2018-12,1.89,2018,12
"03 asturias, principado de",2018-11,1.84,2018,11
"03 asturias, principado de",2018-10,1.95,2018,10
"03 asturias, principado de",2018-09,2.04,2018,9
"03 asturias, principado de",2018-08,2.45,2018,8
"03 asturias, principado de",2018-07,2.21,2018,7
"03 asturias, principado de",2018-06,1.93,2018,6
"03 asturias, principado de",2018-05,1.9,2018,5
"03 asturias, principado de",2018-04,1.84,2018,4
"03 asturias, principado de",2018-03,1.94,2018,3
"03 asturias, principado de",2018-02,1.73,2018,2
"03 asturias, principado de",2018-01,1.79,2018,1
"03 asturias, principado de",2017-12,1.84,2017,12
"03 asturias, principado de",2017-11,1.81,2017,11
