Total Nacional;Comunidades y Ciudades Autónomas;Viajeros y pernoctaciones;Residencia;Periodo;Total
Total Nacional;10 Comunitat Valenciana;Viajero;Total;2022M06;141.894
Total Nacional;10 Comunitat Valenciana;Viajero;Total;2022M05;105.863
Total Nacional;10 Comunitat Valenciana;Viajero;Total;2022M04;122.998
Total Nacional;10 Comunitat Valenciana;Viajero;Total;2022M03;51.376
Total Nacional;10 Comunitat Valenciana;Viajero;Total;2022M02;47.449
Total Nacional;10 Comunitat Valenciana;Viajero;Total;2022M01;49.018
Total Nacional;10 Comunitat Valenciana;Viajero;Total;2021M12;56.405
Total Nacional;10 Comunitat Valenciana;Viajero;Total;2021M11;51.367
Total Nacional;10 Comunitat Valenciana;Viajero;Total;2021M10;110.520
Total Nacional;10 Comunitat Valenciana;Viajero;Total;2021M09;117.772
Total Nacional;10 Comunitat Valenciana;Viajero;Total;2021M08;205.415
Total Nacional;10 Comunitat Valenciana;Viajero;Total;2021M07;167.670
Total Nacional;10 Comunitat Valenciana;Viajero;Total;2021M06;122.056
Total Nacional;10 Comunitat Valenciana;Viajero;Total;2021M05;73.173
Total Nacional;10 Comunitat Valenciana;Viajero;Total;2021M04;68.545
Total Nacional;10 Comunitat Valenciana;Viajero;Total;2021M03;34.782
Total Nacional;10 Comunitat Valenciana;Viajero;Total;2021M02;13.672
Total Nacional;10 Comunitat Valenciana;Viajero;Total;2021M01;16.486
Total Nacional;10 Comunitat Valenciana;Viajero;Total;2020M12;28.017
Total Nacional;10 Comunitat Valenciana;Viajero;Total;2020M11;17.688
Total Nacional;10 Comunitat Valenciana;Viajero;Total;2020M10;55.602
Total Nacional;10 Comunitat Valenciana;Viajero;Total;2020M09;70.764
Total Nacional;10 Comunitat Valenciana;Viajero;Total;2020M08;155.660
Total Nacional;10 Comunitat Valenciana;Viajero;Total;2020M07;100.821
Total Nacional;10 Comunitat Valenciana;Viajero;Total;2020M06;43.861
Total Nacional;10 Comunitat Valenciana;Viajero;Total;2020M05;3.501
Total Nacional;10 Comunitat Valenciana;Viajero;Total;2020M04;0
Total Nacional;10 Comunitat Valenciana;Viajero;Total;2020M03;20.178
Total Nacional;10 Comunitat Valenciana;Viajero;Total;2020M02;42.219
Total Nacional;10 Comunitat Valenciana;Viajero;Total;2020M01;37.431
Total Nacional;10 Comunitat Valenciana;Viajero;Total;2019M12;45.012
Total Nacional;10 Comunitat Valenciana;Viajero;Total;2019M11;46.799
Total Nacional;10 Comunitat Valenciana;Viajero;Total;2019M10;78.015
Total Nacional;10 Comunitat Valenciana;Viajero;Total;2019M09;89.561
Total Nacional;10 Comunitat Valenciana;Viajero;Total;2019M08;196.938
Total Nacional;10 Comunitat Valenciana;Viajero;Total;2019M07;141.637
Total Nacional;10 Comunitat Valenciana;Viajero;Total;2019M06;123.515
Total Nacional;10 Comunitat Valenciana;Viajero;Total;2019M05;92.271
Total Nacional;10 Comunitat Valenciana;Viajero;Total;2019M04;88.304
Total Nacional;10 Comunitat Valenciana;Viajero;Total;2019M03;56.312
Total Nacional;10 Comunitat Valenciana;Viajero;Total;2019M02;37.609
Total Nacional;10 Comunitat Valenciana;Viajero;Total;2019M01;37.280
Total Nacional;10 Comunitat Valenciana;Viajero;Total;2018M12;43.266
Total Nacional;10 Comunitat Valenciana;Viajero;Total;2018M11;40.425
Total Nacional;10 Comunitat Valenciana;Viajero;Total;2018M10;77.956
Total Nacional;10 Comunitat Valenciana;Viajero;Total;2018M09;87.148
Total Nacional;10 Comunitat Valenciana;Viajero;Total;2018M08;185.391
Total Nacional;10 Comunitat Valenciana;Viajero;Total;2018M07;147.252
Total Nacional;10 Comunitat Valenciana;Viajero;Total;2018M06;109.407
Total Nacional;10 Comunitat Valenciana;Viajero;Total;2018M05;75.006
Total Nacional;10 Comunitat Valenciana;Viajero;Total;2018M04;81.328
Total Nacional;10 Comunitat Valenciana;Viajero;Total;2018M03;82.971
Total Nacional;10 Comunitat Valenciana;Viajero;Total;2018M02;33.110
Total Nacional;10 Comunitat Valenciana;Viajero;Total;2018M01;33.331
Total Nacional;10 Comunitat Valenciana;Viajero;Total;2017M12;38.522
Total Nacional;10 Comunitat Valenciana;Viajero;Total;2017M11;35.133
Total Nacional;10 Comunitat Valenciana;Viajero;Total;2017M10;67.862
Total Nacional;10 Comunitat Valenciana;Viajero;Total;2017M09;90.747
Total Nacional;10 Comunitat Valenciana;Viajero;Total;2017M08;181.990
Total Nacional;10 Comunitat Valenciana;Viajero;Total;2017M07;143.668
Total Nacional;10 Comunitat Valenciana;Viajero;Total;2017M06;99.639
Total Nacional;10 Comunitat Valenciana;Viajero;Total;2017M05;63.956
Total Nacional;10 Comunitat Valenciana;Viajero;Total;2017M04;97.351
Total Nacional;10 Comunitat Valenciana;Viajero;Total;2017M03;49.062
Total Nacional;10 Comunitat Valenciana;Viajero;Total;2017M02;29.709
Total Nacional;10 Comunitat Valenciana;Viajero;Total;2017M01;39.888
Total Nacional;10 Comunitat Valenciana;Viajero;Residentes en España;2024M10;38.916
Total Nacional;10 Comunitat Valenciana;Viajero;Residentes en España;2024M09;68.406
Total Nacional;10 Comunitat Valenciana;Viajero;Residentes en España;2024M08;157.311
Total Nacional;10 Comunitat Valenciana;Viajero;Residentes en España;2024M07;135.809
Total Nacional;10 Comunitat Valenciana;Viajero;Residentes en España;2024M06;107.360
Total Nacional;10 Comunitat Valenciana;Viajero;Residentes en España;2024M05;68.631
Total Nacional;10 Comunitat Valenciana;Viajero;Residentes en España;2024M04;53.120
Total Nacional;10 Comunitat Valenciana;Viajero;Residentes en España;2024M03;60.646
Total Nacional;10 Comunitat Valenciana;Viajero;Residentes en España;2024M02;19.804
Total Nacional;10 Comunitat Valenciana;Viajero;Residentes en España;2024M01;17.488
Total Nacional;10 Comunitat Valenciana;Viajero;Residentes en España;2023M12;34.144
Total Nacional;10 Comunitat Valenciana;Viajero;Residentes en España;2023M11;28.827
Total Nacional;10 Comunitat Valenciana;Viajero;Residentes en España;2023M10;54.908
Total Nacional;10 Comunitat Valenciana;Viajero;Residentes en España;2023M09;71.611
Total Nacional;10 Comunitat Valenciana;Viajero;Residentes en España;2023M08;162.167
Total Nacional;10 Comunitat Valenciana;Viajero;Residentes en España;2023M07;150.572
Total Nacional;10 Comunitat Valenciana;Viajero;Residentes en España;2023M06;101.933
Total Nacional;10 Comunitat Valenciana;Viajero;Residentes en España;2023M05;55.536
Total Nacional;10 Comunitat Valenciana;Viajero;Residentes en España;2023M04;102.009
Total Nacional;10 Comunitat Valenciana;Viajero;Residentes en España;2023M03;28.233
Total Nacional;10 Comunitat Valenciana;Viajero;Residentes en España;2023M02;15.899
Total Nacional;10 Comunitat Valenciana;Viajero;Residentes en España;2023M01;17.128
Total Nacional;10 Comunitat Valenciana;Viajero;Residentes en España;2022M12;28.921
Total Nacional;10 Comunitat Valenciana;Viajero;Residentes en España;2022M11;19.268
Total Nacional;10 Comunitat Valenciana;Viajero;Residentes en España;2022M10;51.988
Total Nacional;10 Comunitat Valenciana;Viajero;Residentes en España;2022M09;74.271
Total Nacional;10 Comunitat Valenciana;Viajero;Residentes en España;2022M08;166.279
Total Nacional;10 Comunitat Valenciana;Viajero;Residentes en España;2022M07;152.038
Total Nacional;10 Comunitat Valenciana;Viajero;Residentes en España;2022M06;110.773
Total Nacional;10 Comunitat Valenciana;Viajero;Residentes en España;2022M05;68.206
Total Nacional;10 Comunitat Valenciana;Viajero;Residentes en España;2022M04;85.245
Total Nacional;10 Comunitat Valenciana;Viajero;Residentes en España;2022M03;19.025
Total Nacional;10 Comunitat Valenciana;Viajero;Residentes en España;2022M02;19.215
Total Nacional;10 Comunitat Valenciana;Viajero;Residentes en España;2022M01;18.881
Total Nacional;10 Comunitat Valenciana;Viajero;Residentes en España;2021M12;32.869
Total Nacional;10 Comunitat Valenciana;Viajero;Residentes en España;2021M11;21.712
Total Nacional;10 Comunitat Valenciana;Viajero;Residentes en España;2021M10;66.419
Total Nacional;10 Comunitat Valenciana;Viajero;Residentes en España;2021M09;81.984
Total Nacional;10 Comunitat Valenciana;Viajero;Residentes en España;2021M08;181.720
Total Nacional;10 Comunitat Valenciana;Viajero;Residentes en España;2021M07;148.955
Total Nacional;10 Comunitat Valenciana;Viajero;Residentes en España;2021M06;110.816
Total Nacional;10 Comunitat Valenciana;Viajero;Residentes en España;2021M05;64.372
Total Nacional;10 Comunitat Valenciana;Viajero;Residentes en España;2021M04;63.256
Total Nacional;10 Comunitat Valenciana;Viajero;Residentes en España;2021M03;29.698
Total Nacional;10 Comunitat Valenciana;Viajero;Residentes en España;2021M02;10.851
Total Nacional;10 Comunitat Valenciana;Viajero;Residentes en España;2021M01;10.474
Total Nacional;10 Comunitat Valenciana;Viajero;Residentes en España;2020M12;22.104
Total Nacional;10 Comunitat Valenciana;Viajero;Residentes en España;2020M11;12.793
Total Nacional;10 Comunitat Valenciana;Viajero;Residentes en España;2020M10;45.548
Total Nacional;10 Comunitat Valenciana;Viajero;Residentes en España;2020M09;62.829
Total Nacional;10 Comunitat Valenciana;Viajero;Residentes en España;2020M08;143.235
Total Nacional;10 Comunitat Valenciana;Viajero;Residentes en España;2020M07;88.970
Total Nacional;10 Comunitat Valenciana;Viajero;Residentes en España;2020M06;41.891
Total Nacional;10 Comunitat Valenciana;Viajero;Residentes en España;2020M05;.
Total Nacional;10 Comunitat Valenciana;Viajero;Residentes en España;2020M04;0
Total Nacional;10 Comunitat Valenciana;Viajero;Residentes en España;2020M03;4.716
Total Nacional;10 Comunitat Valenciana;Viajero;Residentes en España;2020M02;18.214
Total Nacional;10 Comunitat Valenciana;Viajero;Residentes en España;2020M01;11.916
Total Nacional;10 Comunitat Valenciana;Viajero;Residentes en España;2019M12;24.372
Total Nacional;10 Comunitat Valenciana;Viajero;Residentes en España;2019M11;22.061
Total Nacional;10 Comunitat Valenciana;Viajero;Residentes en España;2019M10;33.583
Total Nacional;10 Comunitat Valenciana;Viajero;Residentes en España;2019M09;49.726
Total Nacional;10 Comunitat Valenciana;Viajero;Residentes en España;2019M08;151.079
Total Nacional;10 Comunitat Valenciana;Viajero;Residentes en España;2019M07;106.835
Total Nacional;10 Comunitat Valenciana;Viajero;Residentes en España;2019M06;89.617
Total Nacional;10 Comunitat Valenciana;Viajero;Residentes en España;2019M05;45.931
Total Nacional;10 Comunitat Valenciana;Viajero;Residentes en España;2019M04;58.783
Total Nacional;10 Comunitat Valenciana;Viajero;Residentes en España;2019M03;25.449
Total Nacional;10 Comunitat Valenciana;Viajero;Residentes en España;2019M02;15.746
Total Nacional;10 Comunitat Valenciana;Viajero;Residentes en España;2019M01;12.380
Total Nacional;10 Comunitat Valenciana;Viajero;Residentes en España;2018M12;23.189
Total Nacional;10 Comunitat Valenciana;Viajero;Residentes en España;2018M11;20.614
Total Nacional;10 Comunitat Valenciana;Viajero;Residentes en España;2018M10;36.005
Total Nacional;10 Comunitat Valenciana;Viajero;Residentes en España;2018M09;53.004
Total Nacional;10 Comunitat Valenciana;Viajero;Residentes en España;2018M08;144.742
Total Nacional;10 Comunitat Valenciana;Viajero;Residentes en España;2018M07;110.905
Total Nacional;10 Comunitat Valenciana;Viajero;Residentes en España;2018M06;77.114
Total Nacional;10 Comunitat Valenciana;Viajero;Residentes en España;2018M05;37.908
Total Nacional;10 Comunitat Valenciana;Viajero;Residentes en España;2018M04;51.869
Total Nacional;10 Comunitat Valenciana;Viajero;Residentes en España;2018M03;48.831
Total Nacional;10 Comunitat Valenciana;Viajero;Residentes en España;2018M02;11.712
Total Nacional;10 Comunitat Valenciana;Viajero;Residentes en España;2018M01;10.129
Total Nacional;10 Comunitat Valenciana;Viajero;Residentes en España;2017M12;21.255
Total Nacional;10 Comunitat Valenciana;Viajero;Residentes en España;2017M11;15.862
Total Nacional;10 Comunitat Valenciana;Viajero;Residentes en España;2017M10;33.198
Total Nacional;10 Comunitat Valenciana;Viajero;Residentes en España;2017M09;50.109
Total Nacional;10 Comunitat Valenciana;Viajero;Residentes en España;2017M08;138.601
Total Nacional;10 Comunitat Valenciana;Viajero;Residentes en España;2017M07;107.486
Total Nacional;10 Comunitat Valenciana;Viajero;Residentes en España;2017M06;74.497
Total Nacional;10 Comunitat Valenciana;Viajero;Residentes en España;2017M05;34.605
Total Nacional;10 Comunitat Valenciana;Viajero;Residentes en España;2017M04;71.493
Total Nacional;10 Comunitat Valenciana;Viajero;Residentes en España;2017M03;21.261
Total Nacional;10 Comunitat Valenciana;Viajero;Residentes en España;2017M02;10.719
Total Nacional;10 Comunitat Valenciana;Viajero;Residentes en España;2017M01;15.234
Total Nacional;10 Comunitat Valenciana;Viajero;Residentes en el Extranjero;2024M10;76.254
Total Nacional;10 Comunitat Valenciana;Viajero;Residentes en el Extranjero;2024M09;66.475
Total Nacional;10 Comunitat Valenciana;Viajero;Residentes en el Extranjero;2024M08;52.829
Total Nacional;10 Comunitat Valenciana;Viajero;Residentes en el Extranjero;2024M07;48.592
Total Nacional;10 Comunitat Valenciana;Viajero;Residentes en el Extranjero;2024M06;41.042
Total Nacional;10 Comunitat Valenciana;Viajero;Residentes en el Extranjero;2024M05;56.977
Total Nacional;10 Comunitat Valenciana;Viajero;Residentes en el Extranjero;2024M04;62.923
Total Nacional;10 Comunitat Valenciana;Viajero;Residentes en el Extranjero;2024M03;53.074
Total Nacional;10 Comunitat Valenciana;Viajero;Residentes en el Extranjero;2024M02;37.805
Total Nacional;10 Comunitat Valenciana;Viajero;Residentes en el Extranjero;2024M01;40.198
Total Nacional;10 Comunitat Valenciana;Viajero;Residentes en el Extranjero;2023M12;31.318
Total Nacional;10 Comunitat Valenciana;Viajero;Residentes en el Extranjero;2023M11;36.973
Total Nacional;10 Comunitat Valenciana;Viajero;Residentes en el Extranjero;2023M10;60.393
Total Nacional;10 Comunitat Valenciana;Viajero;Residentes en el Extranjero;2023M09;54.052
Total Nacional;10 Comunitat Valenciana;Viajero;Residentes en el Extranjero;2023M08;49.117
Total Nacional;10 Comunitat Valenciana;Viajero;Residentes en el Extranjero;2023M07;43.447
Total Nacional;10 Comunitat Valenciana;Viajero;Residentes en el Extranjero;2023M06;32.148
Total Nacional;10 Comunitat Valenciana;Viajero;Residentes en el Extranjero;2023M05;48.369
Total Nacional;10 Comunitat Valenciana;Viajero;Residentes en el Extranjero;2023M04;45.267
Total Nacional;10 Comunitat Valenciana;Viajero;Residentes en el Extranjero;2023M03;41.405
Total Nacional;10 Comunitat Valenciana;Viajero;Residentes en el Extranjero;2023M02;31.357
Total Nacional;10 Comunitat Valenciana;Viajero;Residentes en el Extranjero;2023M01;35.764
Total Nacional;10 Comunitat Valenciana;Viajero;Residentes en el Extranjero;2022M12;28.109
Total Nacional;10 Comunitat Valenciana;Viajero;Residentes en el Extranjero;2022M11;31.786
Total Nacional;10 Comunitat Valenciana;Viajero;Residentes en el Extranjero;2022M10;48.652
Total Nacional;10 Comunitat Valenciana;Viajero;Residentes en el Extranjero;2022M09;48.949
Total Nacional;10 Comunitat Valenciana;Viajero;Residentes en el Extranjero;2022M08;44.776
Total Nacional;10 Comunitat Valenciana;Viajero;Residentes en el Extranjero;2022M07;41.799
Total Nacional;10 Comunitat Valenciana;Viajero;Residentes en el Extranjero;2022M06;31.121
Total Nacional;10 Comunitat Valenciana;Viajero;Residentes en el Extranjero;2022M05;37.657
Total Nacional;10 Comunitat Valenciana;Viajero;Residentes en el Extranjero;2022M04;37.753
Total Nacional;10 Comunitat Valenciana;Viajero;Residentes en el Extranjero;2022M03;32.351
Total Nacional;10 Comunitat Valenciana;Viajero;Residentes en el Extranjero;2022M02;28.234
Total Nacional;10 Comunitat Valenciana;Viajero;Residentes en el Extranjero;2022M01;30.137
Total Nacional;10 Comunitat Valenciana;Viajero;Residentes en el Extranjero;2021M12;23.537
Total Nacional;10 Comunitat Valenciana;Viajero;Residentes en el Extranjero;2021M11;29.655
Total Nacional;10 Comunitat Valenciana;Viajero;Residentes en el Extranjero;2021M10;44.101
Total Nacional;10 Comunitat Valenciana;Viajero;Residentes en el Extranjero;2021M09;35.789
Total Nacional;10 Comunitat Valenciana;Viajero;Residentes en el Extranjero;2021M08;23.694
Total Nacional;10 Comunitat Valenciana;Viajero;Residentes en el Extranjero;2021M07;18.715
Total Nacional;10 Comunitat Valenciana;Viajero;Residentes en el Extranjero;2021M06;11.241
Total Nacional;10 Comunitat Valenciana;Viajero;Residentes en el Extranjero;2021M05;8.801
Total Nacional;10 Comunitat Valenciana;Viajero;Residentes en el Extranjero;2021M04;5.289
Total Nacional;10 Comunitat Valenciana;Viajero;Residentes en el Extranjero;2021M03;5.084
Total Nacional;10 Comunitat Valenciana;Viajero;Residentes en el Extranjero;2021M02;2.822
Total Nacional;10 Comunitat Valenciana;Viajero;Residentes en el Extranjero;2021M01;6.012
Total Nacional;10 Comunitat Valenciana;Viajero;Residentes en el Extranjero;2020M12;5.913
Total Nacional;10 Comunitat Valenciana;Viajero;Residentes en el Extranjero;2020M11;4.895
Total Nacional;10 Comunitat Valenciana;Viajero;Residentes en el Extranjero;2020M10;10.054
Total Nacional;10 Comunitat Valenciana;Viajero;Residentes en el Extranjero;2020M09;7.935
Total Nacional;10 Comunitat Valenciana;Viajero;Residentes en el Extranjero;2020M08;12.425
Total Nacional;10 Comunitat Valenciana;Viajero;Residentes en el Extranjero;2020M07;11.851
Total Nacional;10 Comunitat Valenciana;Viajero;Residentes en el Extranjero;2020M06;1.969
Total Nacional;10 Comunitat Valenciana;Viajero;Residentes en el Extranjero;2020M05;.
Total Nacional;10 Comunitat Valenciana;Viajero;Residentes en el Extranjero;2020M04;0
Total Nacional;10 Comunitat Valenciana;Viajero;Residentes en el Extranjero;2020M03;15.462
Total Nacional;10 Comunitat Valenciana;Viajero;Residentes en el Extranjero;2020M02;24.005
Total Nacional;10 Comunitat Valenciana;Viajero;Residentes en el Extranjero;2020M01;25.515
Total Nacional;10 Comunitat Valenciana;Viajero;Residentes en el Extranjero;2019M12;20.640
Total Nacional;10 Comunitat Valenciana;Viajero;Residentes en el Extranjero;2019M11;24.738
Total Nacional;10 Comunitat Valenciana;Viajero;Residentes en el Extranjero;2019M10;44.431
Total Nacional;10 Comunitat Valenciana;Viajero;Residentes en el Extranjero;2019M09;39.835
Total Nacional;10 Comunitat Valenciana;Viajero;Residentes en el Extranjero;2019M08;45.859
Total Nacional;10 Comunitat Valenciana;Viajero;Residentes en el Extranjero;2019M07;34.802
Total Nacional;10 Comunitat Valenciana;Viajero;Residentes en el Extranjero;2019M06;33.899
Total Nacional;10 Comunitat Valenciana;Viajero;Residentes en el Extranjero;2019M05;46.340
Total Nacional;10 Comunitat Valenciana;Viajero;Residentes en el Extranjero;2019M04;29.521
Total Nacional;10 Comunitat Valenciana;Viajero;Residentes en el Extranjero;2019M03;30.862
Total Nacional;10 Comunitat Valenciana;Viajero;Residentes en el Extranjero;2019M02;21.863
Total Nacional;10 Comunitat Valenciana;Viajero;Residentes en el Extranjero;2019M01;24.900
Total Nacional;10 Comunitat Valenciana;Viajero;Residentes en el Extranjero;2018M12;20.078
Total Nacional;10 Comunitat Valenciana;Viajero;Residentes en el Extranjero;2018M11;19.811
Total Nacional;10 Comunitat Valenciana;Viajero;Residentes en el Extranjero;2018M10;41.951
Total Nacional;10 Comunitat Valenciana;Viajero;Residentes en el Extranjero;2018M09;34.144
Total Nacional;10 Comunitat Valenciana;Viajero;Residentes en el Extranjero;2018M08;40.649
Total Nacional;10 Comunitat Valenciana;Viajero;Residentes en el Extranjero;2018M07;36.347
Total Nacional;10 Comunitat Valenciana;Viajero;Residentes en el Extranjero;2018M06;32.292
Total Nacional;10 Comunitat Valenciana;Viajero;Residentes en el Extranjero;2018M05;37.098
Total Nacional;10 Comunitat Valenciana;Viajero;Residentes en el Extranjero;2018M04;29.459
Total Nacional;10 Comunitat Valenciana;Viajero;Residentes en el Extranjero;2018M03;34.140
Total Nacional;10 Comunitat Valenciana;Viajero;Residentes en el Extranjero;2018M02;21.398
Total Nacional;10 Comunitat Valenciana;Viajero;Residentes en el Extranjero;2018M01;23.202
Total Nacional;10 Comunitat Valenciana;Viajero;Residentes en el Extranjero;2017M12;17.267
Total Nacional;10 Comunitat Valenciana;Viajero;Residentes en el Extranjero;2017M11;19.271
Total Nacional;10 Comunitat Valenciana;Viajero;Residentes en el Extranjero;2017M10;34.664
Total Nacional;10 Comunitat Valenciana;Viajero;Residentes en el Extranjero;2017M09;40.637
Total Nacional;10 Comunitat Valenciana;Viajero;Residentes en el Extranjero;2017M08;43.389
Total Nacional;10 Comunitat Valenciana;Viajero;Residentes en el Extranjero;2017M07;36.182
Total Nacional;10 Comunitat Valenciana;Viajero;Residentes en el Extranjero;2017M06;25.142
Total Nacional;10 Comunitat Valenciana;Viajero;Residentes en el Extranjero;2017M05;29.351
Total Nacional;10 Comunitat Valenciana;Viajero;Residentes en el Extranjero;2017M04;25.858
Total Nacional;10 Comunitat Valenciana;Viajero;Residentes en el Extranjero;2017M03;27.800
Total Nacional;10 Comunitat Valenciana;Viajero;Residentes en el Extranjero;2017M02;18.991
Total Nacional;10 Comunitat Valenciana;Viajero;Residentes en el Extranjero;2017M01;24.654
Total Nacional;10 Comunitat Valenciana;Pernoctaciones;Total;2024M10;880.151
Total Nacional;10 Comunitat Valenciana;Pernoctaciones;Total;2024M09;819.636
Total Nacional;10 Comunitat Valenciana;Pernoctaciones;Total;2024M08;1.360.625
Total Nacional;10 Comunitat Valenciana;Pernoctaciones;Total;2024M07;1.143.923
Total Nacional;10 Comunitat Valenciana;Pernoctaciones;Total;2024M06;814.604
Total Nacional;10 Comunitat Valenciana;Pernoctaciones;Total;2024M05;745.197
Total Nacional;10 Comunitat Valenciana;Pernoctaciones;Total;2024M04;754.943
Total Nacional;10 Comunitat Valenciana;Pernoctaciones;Total;2024M03;820.320
Total Nacional;10 Comunitat Valenciana;Pernoctaciones;Total;2024M02;729.340
Total Nacional;10 Comunitat Valenciana;Pernoctaciones;Total;2024M01;733.245
Total Nacional;10 Comunitat Valenciana;Pernoctaciones;Total;2023M12;684.402
Total Nacional;10 Comunitat Valenciana;Pernoctaciones;Total;2023M11;666.165
Total Nacional;10 Comunitat Valenciana;Pernoctaciones;Total;2023M10;860.248
Total Nacional;10 Comunitat Valenciana;Pernoctaciones;Total;2023M09;791.322
Total Nacional;10 Comunitat Valenciana;Pernoctaciones;Total;2023M08;1.441.576
Total Nacional;10 Comunitat Valenciana;Pernoctaciones;Total;2023M07;1.145.638
Total Nacional;10 Comunitat Valenciana;Pernoctaciones;Total;2023M06;776.026
Total Nacional;10 Comunitat Valenciana;Pernoctaciones;Total;2023M05;705.299
Total Nacional;10 Comunitat Valenciana;Pernoctaciones;Total;2023M04;854.670
Total Nacional;10 Comunitat Valenciana;Pernoctaciones;Total;2023M03;689.152
Total Nacional;10 Comunitat Valenciana;Pernoctaciones;Total;2023M02;670.405
Total Nacional;10 Comunitat Valenciana;Pernoctaciones;Total;2023M01;681.097
Total Nacional;10 Comunitat Valenciana;Pernoctaciones;Total;2022M12;637.733
Total Nacional;10 Comunitat Valenciana;Pernoctaciones;Total;2022M11;574.884
Total Nacional;10 Comunitat Valenciana;Pernoctaciones;Total;2022M10;788.085
Total Nacional;10 Comunitat Valenciana;Pernoctaciones;Total;2022M09;768.426
Total Nacional;10 Comunitat Valenciana;Pernoctaciones;Total;2022M08;1.418.222
Total Nacional;10 Comunitat Valenciana;Pernoctaciones;Total;2022M07;1.153.686
Total Nacional;10 Comunitat Valenciana;Pernoctaciones;Total;2022M06;775.358
Total Nacional;10 Comunitat Valenciana;Pernoctaciones;Total;2022M05;670.922
Total Nacional;10 Comunitat Valenciana;Pernoctaciones;Total;2022M04;738.600
Total Nacional;10 Comunitat Valenciana;Pernoctaciones;Total;2022M03;586.923
Total Nacional;10 Comunitat Valenciana;Pernoctaciones;Total;2022M02;618.312
Total Nacional;10 Comunitat Valenciana;Pernoctaciones;Total;2022M01;621.896
Total Nacional;10 Comunitat Valenciana;Pernoctaciones;Total;2021M12;608.630
Total Nacional;10 Comunitat Valenciana;Pernoctaciones;Total;2021M11;542.751
Total Nacional;10 Comunitat Valenciana;Pernoctaciones;Total;2021M10;780.244
Total Nacional;10 Comunitat Valenciana;Pernoctaciones;Total;2021M09;741.696
Total Nacional;10 Comunitat Valenciana;Pernoctaciones;Total;2021M08;1.325.563
Total Nacional;10 Comunitat Valenciana;Pernoctaciones;Total;2021M07;1.039.145
Total Nacional;10 Comunitat Valenciana;Pernoctaciones;Total;2021M06;627.289
Total Nacional;10 Comunitat Valenciana;Pernoctaciones;Total;2021M05;435.273
Total Nacional;10 Comunitat Valenciana;Pernoctaciones;Total;2021M04;428.619
Total Nacional;10 Comunitat Valenciana;Pernoctaciones;Total;2021M03;349.954
Total Nacional;10 Comunitat Valenciana;Pernoctaciones;Total;2021M02;285.224
Total Nacional;10 Comunitat Valenciana;Pernoctaciones;Total;2021M01;328.520
Total Nacional;10 Comunitat Valenciana;Pernoctaciones;Total;2020M12;341.350
Total Nacional;10 Comunitat Valenciana;Pernoctaciones;Total;2020M11;308.063
Total Nacional;10 Comunitat Valenciana;Pernoctaciones;Total;2020M10;422.000
Total Nacional;10 Comunitat Valenciana;Pernoctaciones;Total;2020M09;459.264
Total Nacional;10 Comunitat Valenciana;Pernoctaciones;Total;2020M08;938.050
Total Nacional;10 Comunitat Valenciana;Pernoctaciones;Total;2020M07;661.800
Total Nacional;10 Comunitat Valenciana;Pernoctaciones;Total;2020M06;282.104
Total Nacional;10 Comunitat Valenciana;Pernoctaciones;Total;2020M05;31.781
Total Nacional;10 Comunitat Valenciana;Pernoctaciones;Total;2020M04;0
Total Nacional;10 Comunitat Valenciana;Pernoctaciones;Total;2020M03;423.552
Total Nacional;10 Comunitat Valenciana;Pernoctaciones;Total;2020M02;671.696
Total Nacional;10 Comunitat Valenciana;Pernoctaciones;Total;2020M01;649.572
Total Nacional;10 Comunitat Valenciana;Pernoctaciones;Total;2019M12;626.289
Total Nacional;10 Comunitat Valenciana;Pernoctaciones;Total;2019M11;585.701
Total Nacional;10 Comunitat Valenciana;Pernoctaciones;Total;2019M10;726.053
Total Nacional;10 Comunitat Valenciana;Pernoctaciones;Total;2019M09;696.111
Total Nacional;10 Comunitat Valenciana;Pernoctaciones;Total;2019M08;1.342.322
Total Nacional;10 Comunitat Valenciana;Pernoctaciones;Total;2019M07;1.026.362
Total Nacional;10 Comunitat Valenciana;Pernoctaciones;Total;2019M06;731.735
Total Nacional;10 Comunitat Valenciana;Pernoctaciones;Total;2019M05;648.991
Total Nacional;10 Comunitat Valenciana;Pernoctaciones;Total;2019M04;643.324
Total Nacional;10 Comunitat Valenciana;Pernoctaciones;Total;2019M03;651.675
Total Nacional;10 Comunitat Valenciana;Pernoctaciones;Total;2019M02;604.692
Total Nacional;10 Comunitat Valenciana;Pernoctaciones;Total;2019M01;610.706
Total Nacional;10 Comunitat Valenciana;Pernoctaciones;Total;2018M12;600.508
Total Nacional;10 Comunitat Valenciana;Pernoctaciones;Total;2018M11;548.379
Total Nacional;10 Comunitat Valenciana;Pernoctaciones;Total;2018M10;735.351
Total Nacional;10 Comunitat Valenciana;Pernoctaciones;Total;2018M09;669.156
Total Nacional;10 Comunitat Valenciana;Pernoctaciones;Total;2018M08;1.328.908
Total Nacional;10 Comunitat Valenciana;Pernoctaciones;Total;2018M07;1.027.076
Total Nacional;10 Comunitat Valenciana;Pernoctaciones;Total;2018M06;694.559
Total Nacional;10 Comunitat Valenciana;Pernoctaciones;Total;2018M05;616.797
Total Nacional;10 Comunitat Valenciana;Pernoctaciones;Total;2018M04;621.836
Total Nacional;10 Comunitat Valenciana;Pernoctaciones;Total;2018M03;726.950
