Totales Territoriales;Comunidades y Ciudades Autónomas;Viajeros y pernoctaciones;Residencia: Nivel 1;Residencia: Nivel 2;Periodo;Total
Total Nacional;07 Castilla y León;Pernoctaciones;Total;Residentes en España;2001M09;30.484
Total Nacional;07 Castilla y León;Pernoctaciones;Total;Residentes en España;2001M08;285.405
Total Nacional;07 Castilla y León;Pernoctaciones;Total;Residentes en España;2001M07;189.821
Total Nacional;07 Castilla y León;Pernoctaciones;Total;Residentes en España;2001M06;35.948
Total Nacional;07 Castilla y León;Pernoctaciones;Total;Residentes en España;2001M05;11.482
Total Nacional;07 Castilla y León;Pernoctaciones;Total;Residentes en España;2001M04;40.730
Total Nacional;07 Castilla y León;Pernoctaciones;Total;Residentes en España;2001M03;2.538
Total Nacional;07 Castilla y León;Pernoctaciones;Total;Residentes en España;2001M02;1.308
Total Nacional;07 Castilla y León;Pernoctaciones;Total;Residentes en España;2001M01;704
Total Nacional;07 Castilla y León;Pernoctaciones;Total;Residentes en España;2000M12;3.693
Total Nacional;07 Castilla y León;Pernoctaciones;Total;Residentes en España;2000M11;2.409
Total Nacional;07 Castilla y León;Pernoctaciones;Total;Residentes en España;2000M10;11.306
Total Nacional;07 Castilla y León;Pernoctaciones;Total;Residentes en España;2000M09;43.605
Total Nacional;07 Castilla y León;Pernoctaciones;Total;Residentes en España;2000M08;290.518
Total Nacional;07 Castilla y León;Pernoctaciones;Total;Residentes en España;2000M07;193.265
Total Nacional;07 Castilla y León;Pernoctaciones;Total;Residentes en España;2000M06;42.031
Total Nacional;07 Castilla y León;Pernoctaciones;Total;Residentes en España;2000M05;18.523
Total Nacional;07 Castilla y León;Pernoctaciones;Total;Residentes en España;2000M04;38.057
Total Nacional;07 Castilla y León;Pernoctaciones;Total;Residentes en España;2000M03;6.848
Total Nacional;07 Castilla y León;Pernoctaciones;Total;Residentes en España;2000M02;2.858
Total Nacional;07 Castilla y León;Pernoctaciones;Total;Residentes en España;2000M01;2.037
Total Nacional;07 Castilla y León;Pernoctaciones;Total;Residentes en España;1999M12;2.416
Total Nacional;07 Castilla y León;Pernoctaciones;Total;Residentes en España;1999M11;3.529
Total Nacional;07 Castilla y León;Pernoctaciones;Total;Residentes en España;1999M10;19.992
Total Nacional;07 Castilla y León;Pernoctaciones;Total;Residentes en España;1999M09;48.479
Total Nacional;07 Castilla y León;Pernoctaciones;Total;Residentes en España;1999M08;245.041
Total Nacional;07 Castilla y León;Pernoctaciones;Total;Residentes en España;1999M07;194.651
Total Nacional;07 Castilla y León;Pernoctaciones;Total;Residentes en España;1999M06;43.745
Total Nacional;07 Castilla y León;Pernoctaciones;Total;Residentes en España;1999M05;12.509
Total Nacional;07 Castilla y León;Pernoctaciones;Total;Residentes en España;1999M04;21.165
Total Nacional;07 Castilla y León;Pernoctaciones;Total;Residentes en España;1999M03;5.540
Total Nacional;07 Castilla y León;Pernoctaciones;Total;Residentes en España;1999M02;2.126
Total Nacional;07 Castilla y León;Pernoctaciones;Total;Residentes en España;1999M01;2.187
Total Nacional;07 Castilla y León;Pernoctaciones;Total;Residentes en el Extranjero;2025M02;4.499
Total Nacional;07 Castilla y León;Pernoctaciones;Total;Residentes en el Extranjero;2025M01;3.962
Total Nacional;07 Castilla y León;Pernoctaciones;Total;Residentes en el Extranjero;2024M12;4.086
Total Nacional;07 Castilla y León;Pernoctaciones;Total;Residentes en el Extranjero;2024M11;7.634
Total Nacional;07 Castilla y León;Pernoctaciones;Total;Residentes en el Extranjero;2024M10;16.129
Total Nacional;07 Castilla y León;Pernoctaciones;Total;Residentes en el Extranjero;2024M09;42.787
Total Nacional;07 Castilla y León;Pernoctaciones;Total;Residentes en el Extranjero;2024M08;49.037
Total Nacional;07 Castilla y León;Pernoctaciones;Total;Residentes en el Extranjero;2024M07;35.851
Total Nacional;07 Castilla y León;Pernoctaciones;Total;Residentes en el Extranjero;2024M06;32.841
Total Nacional;07 Castilla y León;Pernoctaciones;Total;Residentes en el Extranjero;2024M05;37.769
Total Nacional;07 Castilla y León;Pernoctaciones;Total;Residentes en el Extranjero;2024M04;22.249
Total Nacional;07 Castilla y León;Pernoctaciones;Total;Residentes en el Extranjero;2024M03;12.257
Total Nacional;07 Castilla y León;Pernoctaciones;Total;Residentes en el Extranjero;2024M02;4.807
Total Nacional;07 Castilla y León;Pernoctaciones;Total;Residentes en el Extranjero;2024M01;2.507
Total Nacional;07 Castilla y León;Pernoctaciones;Total;Residentes en el Extranjero;2023M12;3.711
Total Nacional;07 Castilla y León;Pernoctaciones;Total;Residentes en el Extranjero;2023M11;2.770
Total Nacional;07 Castilla y León;Pernoctaciones;Total;Residentes en el Extranjero;2023M10;11.861
Total Nacional;07 Castilla y León;Pernoctaciones;Total;Residentes en el Extranjero;2023M09;29.783
Total Nacional;07 Castilla y León;Pernoctaciones;Total;Residentes en el Extranjero;2023M08;38.873
Total Nacional;07 Castilla y León;Pernoctaciones;Total;Residentes en el Extranjero;2023M07;29.470
Total Nacional;07 Castilla y León;Pernoctaciones;Total;Residentes en el Extranjero;2023M06;25.289
Total Nacional;07 Castilla y León;Pernoctaciones;Total;Residentes en el Extranjero;2023M05;30.900
Total Nacional;07 Castilla y León;Pernoctaciones;Total;Residentes en el Extranjero;2023M04;23.432
Total Nacional;07 Castilla y León;Pernoctaciones;Total;Residentes en el Extranjero;2023M03;9.923
Total Nacional;07 Castilla y León;Pernoctaciones;Total;Residentes en el Extranjero;2023M02;4.553
Total Nacional;07 Castilla y León;Pernoctaciones;Total;Residentes en el Extranjero;2023M01;2.818
Total Nacional;07 Castilla y León;Pernoctaciones;Total;Residentes en el Extranjero;2022M12;2.782
Total Nacional;07 Castilla y León;Pernoctaciones;Total;Residentes en el Extranjero;2022M11;4.197
Total Nacional;07 Castilla y León;Pernoctaciones;Total;Residentes en el Extranjero;2022M10;12.725
Total Nacional;07 Castilla y León;Pernoctaciones;Total;Residentes en el Extranjero;2022M09;26.945
Total Nacional;07 Castilla y León;Pernoctaciones;Total;Residentes en el Extranjero;2022M08;39.582
Total Nacional;07 Castilla y León;Pernoctaciones;Total;Residentes en el Extranjero;2022M07;34.488
Total Nacional;07 Castilla y León;Pernoctaciones;Total;Residentes en el Extranjero;2022M06;27.476
Total Nacional;07 Castilla y León;Pernoctaciones;Total;Residentes en el Extranjero;2022M05;29.461
Total Nacional;07 Castilla y León;Pernoctaciones;Total;Residentes en el Extranjero;2022M04;18.559
Total Nacional;07 Castilla y León;Pernoctaciones;Total;Residentes en el Extranjero;2022M03;8.130
Total Nacional;07 Castilla y León;Pernoctaciones;Total;Residentes en el Extranjero;2022M02;2.495
Total Nacional;07 Castilla y León;Pernoctaciones;Total;Residentes en el Extranjero;2022M01;1.568
Total Nacional;07 Castilla y León;Pernoctaciones;Total;Residentes en el Extranjero;2021M12;1.429
Total Nacional;07 Castilla y León;Pernoctaciones;Total;Residentes en el Extranjero;2021M11;2.465
Total Nacional;07 Castilla y León;Pernoctaciones;Total;Residentes en el Extranjero;2021M10;8.890
Total Nacional;07 Castilla y León;Pernoctaciones;Total;Residentes en el Extranjero;2021M09;17.253
Total Nacional;07 Castilla y León;Pernoctaciones;Total;Residentes en el Extranjero;2021M08;18.740
Total Nacional;07 Castilla y León;Pernoctaciones;Total;Residentes en el Extranjero;2021M07;12.375
Total Nacional;07 Castilla y León;Pernoctaciones;Total;Residentes en el Extranjero;2021M06;3.819
Total Nacional;07 Castilla y León;Pernoctaciones;Total;Residentes en el Extranjero;2021M05;1.551
Total Nacional;07 Castilla y León;Pernoctaciones;Total;Residentes en el Extranjero;2021M04;362
Total Nacional;07 Castilla y León;Pernoctaciones;Total;Residentes en el Extranjero;2021M03;222
Total Nacional;07 Castilla y León;Pernoctaciones;Total;Residentes en el Extranjero;2021M02;131
Total Nacional;07 Castilla y León;Pernoctaciones;Total;Residentes en el Extranjero;2021M01;105
Total Nacional;07 Castilla y León;Pernoctaciones;Total;Residentes en el Extranjero;2020M12;75
Total Nacional;07 Castilla y León;Pernoctaciones;Total;Residentes en el Extranjero;2020M11;.
Total Nacional;07 Castilla y León;Pernoctaciones;Total;Residentes en el Extranjero;2020M10;1.922
Total Nacional;07 Castilla y León;Pernoctaciones;Total;Residentes en el Extranjero;2020M09;2.166
Total Nacional;07 Castilla y León;Pernoctaciones;Total;Residentes en el Extranjero;2020M08;6.881
Total Nacional;07 Castilla y León;Pernoctaciones;Total;Residentes en el Extranjero;2020M07;5.946
Total Nacional;07 Castilla y León;Pernoctaciones;Total;Residentes en el Extranjero;2020M06;278
Total Nacional;07 Castilla y León;Pernoctaciones;Total;Residentes en el Extranjero;2020M05;.
Total Nacional;07 Castilla y León;Pernoctaciones;Total;Residentes en el Extranjero;2020M04;0
Total Nacional;07 Castilla y León;Pernoctaciones;Total;Residentes en el Extranjero;2020M03;489
Total Nacional;07 Castilla y León;Pernoctaciones;Total;Residentes en el Extranjero;2020M02;4.797
Total Nacional;07 Castilla y León;Pernoctaciones;Total;Residentes en el Extranjero;2020M01;3.372
Total Nacional;07 Castilla y León;Pernoctaciones;Total;Residentes en el Extranjero;2019M12;2.614
Total Nacional;07 Castilla y León;Pernoctaciones;Total;Residentes en el Extranjero;2019M11;3.254
Total Nacional;07 Castilla y León;Pernoctaciones;Total;Residentes en el Extranjero;2019M10;10.907
Total Nacional;07 Castilla y León;Pernoctaciones;Total;Residentes en el Extranjero;2019M09;25.494
Total Nacional;07 Castilla y León;Pernoctaciones;Total;Residentes en el Extranjero;2019M08;34.519
Total Nacional;07 Castilla y León;Pernoctaciones;Total;Residentes en el Extranjero;2019M07;31.138
Total Nacional;07 Castilla y León;Pernoctaciones;Total;Residentes en el Extranjero;2019M06;32.386
Total Nacional;07 Castilla y León;Pernoctaciones;Total;Residentes en el Extranjero;2019M05;25.391
Total Nacional;07 Castilla y León;Pernoctaciones;Total;Residentes en el Extranjero;2019M04;15.905
Total Nacional;07 Castilla y León;Pernoctaciones;Total;Residentes en el Extranjero;2019M03;7.091
Total Nacional;07 Castilla y León;Pernoctaciones;Total;Residentes en el Extranjero;2019M02;2.399
Total Nacional;07 Castilla y León;Pernoctaciones;Total;Residentes en el Extranjero;2019M01;2.532
Total Nacional;07 Castilla y León;Pernoctaciones;Total;Residentes en el Extranjero;2018M12;2.219
Total Nacional;07 Castilla y León;Pernoctaciones;Total;Residentes en el Extranjero;2018M11;2.906
Total Nacional;07 Castilla y León;Pernoctaciones;Total;Residentes en el Extranjero;2018M10;10.924
Total Nacional;07 Castilla y León;Pernoctaciones;Total;Residentes en el Extranjero;2018M09;26.963
Total Nacional;07 Castilla y León;Pernoctaciones;Total;Residentes en el Extranjero;2018M08;38.883
Total Nacional;07 Castilla y León;Pernoctaciones;Total;Residentes en el Extranjero;2018M07;32.777
Total Nacional;07 Castilla y León;Pernoctaciones;Total;Residentes en el Extranjero;2018M06;24.491
Total Nacional;07 Castilla y León;Pernoctaciones;Total;Residentes en el Extranjero;2018M05;24.579
Total Nacional;07 Castilla y León;Pernoctaciones;Total;Residentes en el Extranjero;2018M04;12.600
Total Nacional;07 Castilla y León;Pernoctaciones;Total;Residentes en el Extranjero;2018M03;7.286
Total Nacional;07 Castilla y León;Pernoctaciones;Total;Residentes en el Extranjero;2018M02;3.442
Total Nacional;07 Castilla y León;Pernoctaciones;Total;Residentes en el Extranjero;2018M01;2.388
Total Nacional;07 Castilla y León;Pernoctaciones;Total;Residentes en el Extranjero;2017M12;2.269
Total Nacional;07 Castilla y León;Pernoctaciones;Total;Residentes en el Extranjero;2017M11;3.208
Total Nacional;07 Castilla y León;Pernoctaciones;Total;Residentes en el Extranjero;2017M10;11.398
Total Nacional;07 Castilla y León;Pernoctaciones;Total;Residentes en el Extranjero;2017M09;25.326
Total Nacional;07 Castilla y León;Pernoctaciones;Total;Residentes en el Extranjero;2017M08;37.903
Total Nacional;07 Castilla y León;Pernoctaciones;Total;Residentes en el Extranjero;2017M07;31.024
Total Nacional;07 Castilla y León;Pernoctaciones;Total;Residentes en el Extranjero;2017M06;27.308
Total Nacional;07 Castilla y León;Pernoctaciones;Total;Residentes en el Extranjero;2017M05;23.548
Total Nacional;07 Castilla y León;Pernoctaciones;Total;Residentes en el Extranjero;2017M04;15.956
Total Nacional;07 Castilla y León;Pernoctaciones;Total;Residentes en el Extranjero;2017M03;6.091
Total Nacional;07 Castilla y León;Pernoctaciones;Total;Residentes en el Extranjero;2017M02;3.445
Total Nacional;07 Castilla y León;Pernoctaciones;Total;Residentes en el Extranjero;2017M01;2.188
Total Nacional;07 Castilla y León;Pernoctaciones;Total;Residentes en el Extranjero;2016M12;1.750
Total Nacional;07 Castilla y León;Pernoctaciones;Total;Residentes en el Extranjero;2016M11;2.796
Total Nacional;07 Castilla y León;Pernoctaciones;Total;Residentes en el Extranjero;2016M10;7.694
Total Nacional;07 Castilla y León;Pernoctaciones;Total;Residentes en el Extranjero;2016M09;21.147
Total Nacional;07 Castilla y León;Pernoctaciones;Total;Residentes en el Extranjero;2016M08;36.057
Total Nacional;07 Castilla y León;Pernoctaciones;Total;Residentes en el Extranjero;2016M07;34.607
Total Nacional;07 Castilla y León;Pernoctaciones;Total;Residentes en el Extranjero;2016M06;24.069
Total Nacional;07 Castilla y León;Pernoctaciones;Total;Residentes en el Extranjero;2016M05;26.864
Total Nacional;07 Castilla y León;Pernoctaciones;Total;Residentes en el Extranjero;2016M04;12.072
Total Nacional;07 Castilla y León;Pernoctaciones;Total;Residentes en el Extranjero;2016M03;6.778
Total Nacional;07 Castilla y León;Pernoctaciones;Total;Residentes en el Extranjero;2016M02;2.580
Total Nacional;07 Castilla y León;Pernoctaciones;Total;Residentes en el Extranjero;2016M01;2.097
Total Nacional;07 Castilla y León;Pernoctaciones;Total;Residentes en el Extranjero;2015M12;1.934
Total Nacional;07 Castilla y León;Pernoctaciones;Total;Residentes en el Extranjero;2015M11;2.835
Total Nacional;07 Castilla y León;Pernoctaciones;Total;Residentes en el Extranjero;2015M10;5.646
Total Nacional;07 Castilla y León;Pernoctaciones;Total;Residentes en el Extranjero;2015M09;16.990
Total Nacional;07 Castilla y León;Pernoctaciones;Total;Residentes en el Extranjero;2015M08;31.213
Total Nacional;07 Castilla y León;Pernoctaciones;Total;Residentes en el Extranjero;2015M07;28.424
Total Nacional;07 Castilla y León;Pernoctaciones;Total;Residentes en el Extranjero;2015M06;17.775
Total Nacional;07 Castilla y León;Pernoctaciones;Total;Residentes en el Extranjero;2015M05;23.669
Total Nacional;07 Castilla y León;Pernoctaciones;Total;Residentes en el Extranjero;2015M04;11.942
Total Nacional;07 Castilla y León;Pernoctaciones;Total;Residentes en el Extranjero;2015M03;5.780
Total Nacional;07 Castilla y León;Pernoctaciones;Total;Residentes en el Extranjero;2015M02;1.729
Total Nacional;07 Castilla y León;Pernoctaciones;Total;Residentes en el Extranjero;2015M01;1.628
Total Nacional;07 Castilla y León;Pernoctaciones;Total;Residentes en el Extranjero;2014M12;1.422
Total Nacional;07 Castilla y León;Pernoctaciones;Total;Residentes en el Extranjero;2014M11;1.942
Total Nacional;07 Castilla y León;Pernoctaciones;Total;Residentes en el Extranjero;2014M10;6.814
Total Nacional;07 Castilla y León;Pernoctaciones;Total;Residentes en el Extranjero;2014M09;16.288
Total Nacional;07 Castilla y León;Pernoctaciones;Total;Residentes en el Extranjero;2014M08;34.230
Total Nacional;07 Castilla y León;Pernoctaciones;Total;Residentes en el Extranjero;2014M07;27.760
Total Nacional;07 Castilla y León;Pernoctaciones;Total;Residentes en el Extranjero;2014M06;17.321
Total Nacional;07 Castilla y León;Pernoctaciones;Total;Residentes en el Extranjero;2014M05;16.160
Total Nacional;07 Castilla y León;Pernoctaciones;Total;Residentes en el Extranjero;2014M04;11.915
Total Nacional;07 Castilla y León;Pernoctaciones;Total;Residentes en el Extranjero;2014M03;5.550
Total Nacional;07 Castilla y León;Pernoctaciones;Total;Residentes en el Extranjero;2014M02;1.890
Total Nacional;07 Castilla y León;Pernoctaciones;Total;Residentes en el Extranjero;2014M01;1.676
Total Nacional;07 Castilla y León;Pernoctaciones;Total;Residentes en el Extranjero;2013M12;983
Total Nacional;07 Castilla y León;Pernoctaciones;Total;Residentes en el Extranjero;2013M11;2.161
Total Nacional;07 Castilla y León;Pernoctaciones;Total;Residentes en el Extranjero;2013M10;4.572
Total Nacional;07 Castilla y León;Pernoctaciones;Total;Residentes en el Extranjero;2013M09;15.816
Total Nacional;07 Castilla y León;Pernoctaciones;Total;Residentes en el Extranjero;2013M08;30.000
Total Nacional;07 Castilla y León;Pernoctaciones;Total;Residentes en el Extranjero;2013M07;25.934
Total Nacional;07 Castilla y León;Pernoctaciones;Total;Residentes en el Extranjero;2013M06;19.897
Total Nacional;07 Castilla y León;Pernoctaciones;Total;Residentes en el Extranjero;2013M05;14.508
Total Nacional;07 Castilla y León;Pernoctaciones;Total;Residentes en el Extranjero;2013M04;8.531
Total Nacional;07 Castilla y León;Pernoctaciones;Total;Residentes en el Extranjero;2013M03;6.989
Total Nacional;07 Castilla y León;Pernoctaciones;Total;Residentes en el Extranjero;2013M02;1.702
Total Nacional;07 Castilla y León;Pernoctaciones;Total;Residentes en el Extranjero;2013M01;1.284
Total Nacional;07 Castilla y León;Pernoctaciones;Total;Residentes en el Extranjero;2012M12;1.301
Total Nacional;07 Castilla y León;Pernoctaciones;Total;Residentes en el Extranjero;2012M11;3.017
Total Nacional;07 Castilla y León;Pernoctaciones;Total;Residentes en el Extranjero;2012M10;5.097
Total Nacional;07 Castilla y León;Pernoctaciones;Total;Residentes en el Extranjero;2012M09;14.620
Total Nacional;07 Castilla y León;Pernoctaciones;Total;Residentes en el Extranjero;2012M08;30.279
Total Nacional;07 Castilla y León;Pernoctaciones;Total;Residentes en el Extranjero;2012M07;33.839
Total Nacional;07 Castilla y León;Pernoctaciones;Total;Residentes en el Extranjero;2012M06;19.219
Total Nacional;07 Castilla y León;Pernoctaciones;Total;Residentes en el Extranjero;2012M05;16.335
Total Nacional;07 Castilla y León;Pernoctaciones;Total;Residentes en el Extranjero;2012M04;8.867
Total Nacional;07 Castilla y León;Pernoctaciones;Total;Residentes en el Extranjero;2012M03;4.725
Total Nacional;07 Castilla y León;Pernoctaciones;Total;Residentes en el Extranjero;2012M02;1.335
Total Nacional;07 Castilla y León;Pernoctaciones;Total;Residentes en el Extranjero;2012M01;1.273
Total Nacional;07 Castilla y León;Pernoctaciones;Total;Residentes en el Extranjero;2011M12;1.126
Total Nacional;07 Castilla y León;Pernoctaciones;Total;Residentes en el Extranjero;2011M11;1.606
Total Nacional;07 Castilla y León;Pernoctaciones;Total;Residentes en el Extranjero;2011M10;4.586
Total Nacional;07 Castilla y León;Pernoctaciones;Total;Residentes en el Extranjero;2011M09;12.545
Total Nacional;07 Castilla y León;Pernoctaciones;Total;Residentes en el Extranjero;2011M08;36.927
Total Nacional;07 Castilla y León;Pernoctaciones;Total;Residentes en el Extranjero;2011M07;48.182
Total Nacional;07 Castilla y León;Pernoctaciones;Total;Residentes en el Extranjero;2011M06;17.737
Total Nacional;07 Castilla y León;Pernoctaciones;Total;Residentes en el Extranjero;2011M05;14.919
Total Nacional;07 Castilla y León;Pernoctaciones;Total;Residentes en el Extranjero;2011M04;11.610
Total Nacional;07 Castilla y León;Pernoctaciones;Total;Residentes en el Extranjero;2011M03;4.671
Total Nacional;07 Castilla y León;Pernoctaciones;Total;Residentes en el Extranjero;2011M02;1.119
Total Nacional;07 Castilla y León;Pernoctaciones;Total;Residentes en el Extranjero;2011M01;790
Total Nacional;07 Castilla y León;Pernoctaciones;Total;Residentes en el Extranjero;2010M12;856
Total Nacional;07 Castilla y León;Pernoctaciones;Total;Residentes en el Extranjero;2010M11;1.379
Total Nacional;07 Castilla y León;Pernoctaciones;Total;Residentes en el Extranjero;2010M10;4.515
Total Nacional;07 Castilla y León;Pernoctaciones;Total;Residentes en el Extranjero;2010M09;13.564
Total Nacional;07 Castilla y León;Pernoctaciones;Total;Residentes en el Extranjero;2010M08;36.848
Total Nacional;07 Castilla y León;Pernoctaciones;Total;Residentes en el Extranjero;2010M07;40.054
Total Nacional;07 Castilla y León;Pernoctaciones;Total;Residentes en el Extranjero;2010M06;20.217
Total Nacional;07 Castilla y León;Pernoctaciones;Total;Residentes en el Extranjero;2010M05;17.417
Total Nacional;07 Castilla y León;Pernoctaciones;Total;Residentes en el Extranjero;2010M04;12.440
Total Nacional;07 Castilla y León;Pernoctaciones;Total;Residentes en el Extranjero;2010M03;4.888
Total Nacional;07 Castilla y León;Pernoctaciones;Total;Residentes en el Extranjero;2010M02;1.682
Total Nacional;07 Castilla y León;Pernoctaciones;Total;Residentes en el Extranjero;2010M01;1.345
Total Nacional;07 Castilla y León;Pernoctaciones;Total;Residentes en el Extranjero;2009M12;2.198
Total Nacional;07 Castilla y León;Pernoctaciones;Total;Residentes en el Extranjero;2009M11;2.349
Total Nacional;07 Castilla y León;Pernoctaciones;Total;Residentes en el Extranjero;2009M10;5.358
Total Nacional;07 Castilla y León;Pernoctaciones;Total;Residentes en el Extranjero;2009M09;13.331
Total Nacional;07 Castilla y León;Pernoctaciones;Total;Residentes en el Extranjero;2009M08;42.280
Total Nacional;07 Castilla y León;Pernoctaciones;Total;Residentes en el Extranjero;2009M07;39.413
Total Nacional;07 Castilla y León;Pernoctaciones;Total;Residentes en el Extranjero;2009M06;19.948
Total Nacional;07 Castilla y León;Pernoctaciones;Total;Residentes en el Extranjero;2009M05;14.988
Total Nacional;07 Castilla y León;Pernoctaciones;Total;Residentes en el Extranjero;2009M04;12.805
Total Nacional;07 Castilla y León;Pernoctaciones;Total;Residentes en el Extranjero;2009M03;5.221
Total Nacional;07 Castilla y León;Pernoctaciones;Total;Residentes en el Extranjero;2009M02;2.163
Total Nacional;07 Castilla y León;Pernoctaciones;Total;Residentes en el Extranjero;2009M01;1.184
Total Nacional;07 Castilla y León;Pernoctaciones;Total;Residentes en el Extranjero;2008M12;1.145
Total Nacional;07 Castilla y León;Pernoctaciones;Total;Residentes en el Extranjero;2008M11;1.517
Total Nacional;07 Castilla y León;Pernoctaciones;Total;Residentes en el Extranjero;2008M10;2.496
Total Nacional;07 Castilla y León;Pernoctaciones;Total;Residentes en el Extranjero;2008M09;12.368
Total Nacional;07 Castilla y León;Pernoctaciones;Total;Residentes en el Extranjero;2008M08;39.381
Total Nacional;07 Castilla y León;Pernoctaciones;Total;Residentes en el Extranjero;2008M07;31.067
Total Nacional;07 Castilla y León;Pernoctaciones;Total;Residentes en el Extranjero;2008M06;14.495
Total Nacional;07 Castilla y León;Pernoctaciones;Total;Residentes en el Extranjero;2008M05;13.916
Total Nacional;07 Castilla y León;Pernoctaciones;Total;Residentes en el Extranjero;2008M04;9.490
Total Nacional;07 Castilla y León;Pernoctaciones;Total;Residentes en el Extranjero;2008M03;4.488
Total Nacional;07 Castilla y León;Pernoctaciones;Total;Residentes en el Extranjero;2008M02;1.333
Total Nacional;07 Castilla y León;Pernoctaciones;Total;Residentes en el Extranjero;2008M01;975
Total Nacional;07 Castilla y León;Pernoctaciones;Total;Residentes en el Extranjero;2007M12;804
Total Nacional;07 Castilla y León;Pernoctaciones;Total;Residentes en el Extranjero;2007M11;1.696
Total Nacional;07 Castilla y León;Pernoctaciones;Total;Residentes en el Extranjero;2007M10;3.903
Total Nacional;07 Castilla y León;Pernoctaciones;Total;Residentes en el Extranjero;2007M09;13.404
Total Nacional;07 Castilla y León;Pernoctaciones;Total;Residentes en el Extranjero;2007M08;37.175
Total Nacional;07 Castilla y León;Pernoctaciones;Total;Residentes en el Extranjero;2007M07;51.325
Total Nacional;07 Castilla y León;Pernoctaciones;Total;Residentes en el Extranjero;2007M06;20.081
Total Nacional;07 Castilla y León;Pernoctaciones;Total;Residentes en el Extranjero;2007M05;13.441
Total Nacional;07 Castilla y León;Pernoctaciones;Total;Residentes en el Extranjero;2007M04;11.966
Total Nacional;07 Castilla y León;Pernoctaciones;Total;Residentes en el Extranjero;2007M03;3.350
Total Nacional;07 Castilla y León;Pernoctaciones;Total;Residentes en el Extranjero;2007M02;1.434
Total Nacional;07 Castilla y León;Pernoctaciones;Total;Residentes en el Extranjero;2007M01;950
Total Nacional;07 Castilla y León;Pernoctaciones;Total;Residentes en el Extranjero;2006M12;593
Total Nacional;07 Castilla y León;Pernoctaciones;Total;Residentes en el Extranjero;2006M11;1.417
Total Nacional;07 Castilla y León;Pernoctaciones;Total;Residentes en el Extranjero;2006M10;2.761
Total Nacional;07 Castilla y León;Pernoctaciones;Total;Residentes en el Extranjero;2006M09;16.620
Total Nacional;07 Castilla y León;Pernoctaciones;Total;Residentes en el Extranjero;2006M08;46.899
Total Nacional;07 Castilla y León;Pernoctaciones;Total;Residentes en el Extranjero;2006M07;45.510
Total Nacional;07 Castilla y León;Pernoctaciones;Total;Residentes en el Extranjero;2006M06;22.076
Total Nacional;07 Castilla y León;Pernoctaciones;Total;Residentes en el Extranjero;2006M05;18.584
Total Nacional;07 Castilla y León;Pernoctaciones;Total;Residentes en el Extranjero;2006M04;14.258
Total Nacional;07 Castilla y León;Pernoctaciones;Total;Residentes en el Extranjero;2006M03;2.745
Total Nacional;07 Castilla y León;Pernoctaciones;Total;Residentes en el Extranjero;2006M02;1.066
Total Nacional;07 Castilla y León;Pernoctaciones;Total;Residentes en el Extranjero;2006M01;497
Total Nacional;07 Castilla y León;Pernoctaciones;Total;Residentes en el Extranjero;2005M12;467
Total Nacional;07 Castilla y León;Pernoctaciones;Total;Residentes en el Extranjero;2005M11;1.126
Total Nacional;07 Castilla y León;Pernoctaciones;Total;Residentes en el Extranjero;2005M10;2.518
Total Nacional;07 Castilla y León;Pernoctaciones;Total;Residentes en el Extranjero;2005M09;14.722
Total Nacional;07 Castilla y León;Pernoctaciones;Total;Residentes en el Extranjero;2005M08;44.840
Total Nacional;07 Castilla y León;Pernoctaciones;Total;Residentes en el Extranjero;2005M07;38.226
Total Nacional;07 Castilla y León;Pernoctaciones;Total;Residentes en el Extranjero;2005M06;18.133
Total Nacional;07 Castilla y León;Pernoctaciones;Total;Residentes en el Extranjero;2005M05;16.553
Total Nacional;07 Castilla y León;Pernoctaciones;Total;Residentes en el Extranjero;2005M04;7.867
Total Nacional;07 Castilla y León;Pernoctaciones;Total;Residentes en el Extranjero;2005M03;2.933
Total Nacional;07 Castilla y León;Pernoctaciones;Total;Residentes en el Extranjero;2005M02;547
Total Nacional;07 Castilla y León;Pernoctaciones;Total;Residentes en el Extranjero;2005M01;482
Total Nacional;07 Castilla y León;Pernoctaciones;Total;Residentes en el Extranjero;2004M12;435
Total Nacional;07 Castilla y León;Pernoctaciones;Total;Residentes en el Extranjero;2004M11;985
Total Nacional;07 Castilla y León;Pernoctaciones;Total;Residentes en el Extranjero;2004M10;1.938
Total Nacional;07 Castilla y León;Pernoctaciones;Total;Residentes en el Extranjero;2004M09;14.518
Total Nacional;07 Castilla y León;Pernoctaciones;Total;Residentes en el Extranjero;2004M08;36.501
Total Nacional;07 Castilla y León;Pernoctaciones;Total;Residentes en el Extranjero;2004M07;38.417
Total Nacional;07 Castilla y León;Pernoctaciones;Total;Residentes en el Extranjero;2004M06;17.762
Total Nacional;07 Castilla y León;Pernoctaciones;Total;Residentes en el Extranjero;2004M05;16.118
Total Nacional;07 Castilla y León;Pernoctaciones;Total;Residentes en el Extranjero;2004M04;6.458
Total Nacional;07 Castilla y León;Pernoctaciones;Total;Residentes en el Extranjero;2004M03;2.215
Total Nacional;07 Castilla y León;Pernoctaciones;Total;Residentes en el Extranjero;2004M02;719
Total Nacional;07 Castilla y León;Pernoctaciones;Total;Residentes en el Extranjero;2004M01;573
Total Nacional;07 Castilla y León;Pernoctaciones;Total;Residentes en el Extranjero;2003M12;687
