Totales Territoriales;Comunidades y Ciudades Autónomas;Viajeros y pernoctaciones;Residencia: Nivel 1;Residencia: Nivel 2;Periodo;Total
Total Nacional;;Viajero;Total;;2008M03;346.002
Total Nacional;;Viajero;Total;;2008M02;130.851
Total Nacional;;Viajero;Total;;2008M01;98.588
Total Nacional;;Viajero;Total;;2007M12;123.286
Total Nacional;;Viajero;Total;;2007M11;149.208
Total Nacional;;Viajero;Total;;2007M10;239.627
Total Nacional;;Viajero;Total;;2007M09;559.357
Total Nacional;;Viajero;Total;;2007M08;1.824.566
Total Nacional;;Viajero;Total;;2007M07;1.439.517
Total Nacional;;Viajero;Total;;2007M06;728.090
Total Nacional;;Viajero;Total;;2007M05;433.816
Total Nacional;;Viajero;Total;;2007M04;523.728
Total Nacional;;Viajero;Total;;2007M03;222.568
Total Nacional;;Viajero;Total;;2007M02;120.995
Total Nacional;;Viajero;Total;;2007M01;92.348
Total Nacional;;Viajero;Total;;2006M12;144.111
Total Nacional;;Viajero;Total;;2006M11;126.550
Total Nacional;;Viajero;Total;;2006M10;235.619
Total Nacional;;Viajero;Total;;2006M09;570.086
Total Nacional;;Viajero;Total;;2006M08;1.831.383
Total Nacional;;Viajero;Total;;2006M07;1.580.017
Total Nacional;;Viajero;Total;;2006M06;714.251
Total Nacional;;Viajero;Total;;2006M05;446.392
Total Nacional;;Viajero;Total;;2006M04;582.001
Total Nacional;;Viajero;Total;;2006M03;180.367
Total Nacional;;Viajero;Total;;2006M02;116.201
Total Nacional;;Viajero;Total;;2006M01;92.770
Total Nacional;;Viajero;Total;;2005M12;112.671
Total Nacional;;Viajero;Total;;2005M11;119.245
Total Nacional;;Viajero;Total;;2005M10;235.984
Total Nacional;;Viajero;Total;;2005M09;561.031
Total Nacional;;Viajero;Total;;2005M08;1.949.574
Total Nacional;;Viajero;Total;;2005M07;1.588.857
Total Nacional;;Viajero;Total;;2005M06;677.969
Total Nacional;;Viajero;Total;;2005M05;465.980
Total Nacional;;Viajero;Total;;2005M04;350.027
Total Nacional;;Viajero;Total;;2005M03;287.099
Total Nacional;;Viajero;Total;;2005M02;107.435
Total Nacional;;Viajero;Total;;2005M01;100.277
Total Nacional;;Viajero;Total;;2004M12;114.025
Total Nacional;;Viajero;Total;;2004M11;119.937
Total Nacional;;Viajero;Total;;2004M10;241.568
Total Nacional;;Viajero;Total;;2004M09;576.064
Total Nacional;;Viajero;Total;;2004M08;2.024.089
Total Nacional;;Viajero;Total;;2004M07;1.528.945
Total Nacional;;Viajero;Total;;2004M06;706.362
Total Nacional;;Viajero;Total;;2004M05;435.567
Total Nacional;;Viajero;Total;;2004M04;511.388
Total Nacional;;Viajero;Total;;2004M03;173.369
Total Nacional;;Viajero;Total;;2004M02;124.347
Total Nacional;;Viajero;Total;;2004M01;118.265
Total Nacional;;Viajero;Total;;2003M12;116.809
Total Nacional;;Viajero;Total;;2003M11;128.250
Total Nacional;;Viajero;Total;;2003M10;195.499
Total Nacional;;Viajero;Total;;2003M09;581.820
Total Nacional;;Viajero;Total;;2003M08;2.225.168
Total Nacional;;Viajero;Total;;2003M07;1.598.616
Total Nacional;;Viajero;Total;;2003M06;767.861
Total Nacional;;Viajero;Total;;2003M05;519.644
Total Nacional;;Viajero;Total;;2003M04;525.820
Total Nacional;;Viajero;Total;;2003M03;162.825
Total Nacional;;Viajero;Total;;2003M02;113.932
Total Nacional;;Viajero;Total;;2003M01;96.345
Total Nacional;;Viajero;Total;;2002M12;102.531
