Totales Territoriales;Comunidades y Ciudades Autónomas;Periodo;Total
Total Nacional;;2000M09;4,63
Total Nacional;;2000M08;5
Total Nacional;;2000M07;5
Total Nacional;;2000M06;4
Total Nacional;;2000M05;3
Total Nacional;;2000M04;3
Total Nacional;;2000M03;5
Total Nacional;;2000M02;5
Total Nacional;;2000M01;7
Total Nacional;;1999M12;6,5
Total Nacional;;1999M11;5,62
Total Nacional;;1999M10;4,17
Total Nacional;;1999M09;4,34
Total Nacional;;1999M08;5,61
Total Nacional;;1999M07;5,22
Total Nacional;;1999M06;4,08
Total Nacional;;1999M05;3,45
Total Nacional;;1999M04;3,83
Total Nacional;;1999M03;4,29
Total Nacional;;1999M02;6,02
Total Nacional;;1999M01;7,51
Total Nacional;01 Andalucía;2025M02;5,37
Total Nacional;01 Andalucía;2025M01;5,76
Total Nacional;01 Andalucía;2024M12;6,94
Total Nacional;01 Andalucía;2024M11;6,06
Total Nacional;01 Andalucía;2024M10;4,13
Total Nacional;01 Andalucía;2024M09;3,95
Total Nacional;01 Andalucía;2024M08;4,63
Total Nacional;01 Andalucía;2024M07;4,04
Total Nacional;01 Andalucía;2024M06;3,71
Total Nacional;01 Andalucía;2024M05;3,53
Total Nacional;01 Andalucía;2024M04;4,37
Total Nacional;01 Andalucía;2024M03;5,14
Total Nacional;01 Andalucía;2024M02;6,2
Total Nacional;01 Andalucía;2024M01;7,65
Total Nacional;01 Andalucía;2023M12;6,15
Total Nacional;01 Andalucía;2023M11;5,99
Total Nacional;01 Andalucía;2023M10;4,13
Total Nacional;01 Andalucía;2023M09;3,71
Total Nacional;01 Andalucía;2023M08;4,13
Total Nacional;01 Andalucía;2023M07;3,93
Total Nacional;01 Andalucía;2023M06;3,27
Total Nacional;01 Andalucía;2023M05;3,78
Total Nacional;01 Andalucía;2023M04;3,53
Total Nacional;01 Andalucía;2023M03;5,12
Total Nacional;01 Andalucía;2023M02;6,02
Total Nacional;01 Andalucía;2023M01;6,38
Total Nacional;01 Andalucía;2022M12;6,87
Total Nacional;01 Andalucía;2022M11;5,67
Total Nacional;01 Andalucía;2022M10;3,74
Total Nacional;01 Andalucía;2022M09;3,73
Total Nacional;01 Andalucía;2022M08;4,23
Total Nacional;01 Andalucía;2022M07;3,91
Total Nacional;01 Andalucía;2022M06;3,27
Total Nacional;01 Andalucía;2022M05;3,26
Total Nacional;01 Andalucía;2022M04;3,48
Total Nacional;01 Andalucía;2022M03;5,52
Total Nacional;01 Andalucía;2022M02;5,52
Total Nacional;01 Andalucía;2022M01;6,9
Total Nacional;01 Andalucía;2021M12;6,37
Total Nacional;01 Andalucía;2021M11;5,64
Total Nacional;01 Andalucía;2021M10;3,75
Total Nacional;01 Andalucía;2021M09;3,41
Total Nacional;01 Andalucía;2021M08;4,09
Total Nacional;01 Andalucía;2021M07;3,65
Total Nacional;01 Andalucía;2021M06;3,1
Total Nacional;01 Andalucía;2021M05;3,27
Total Nacional;01 Andalucía;2021M04;4,69
Total Nacional;01 Andalucía;2021M03;5,72
Total Nacional;01 Andalucía;2021M02;10,88
Total Nacional;01 Andalucía;2021M01;13,12
Total Nacional;01 Andalucía;2020M12;8,61
Total Nacional;01 Andalucía;2020M11;17,14
Total Nacional;01 Andalucía;2020M10;3,49
Total Nacional;01 Andalucía;2020M09;3,4
Total Nacional;01 Andalucía;2020M08;3,84
Total Nacional;01 Andalucía;2020M07;3,47
Total Nacional;01 Andalucía;2020M06;3,26
Total Nacional;01 Andalucía;2020M05;13,16
Total Nacional;01 Andalucía;2020M04;0
Total Nacional;01 Andalucía;2020M03;8,15
Total Nacional;01 Andalucía;2020M02;5,32
Total Nacional;01 Andalucía;2020M01;7,55
Total Nacional;01 Andalucía;2019M12;6,45
Total Nacional;01 Andalucía;2019M11;5,58
Total Nacional;01 Andalucía;2019M10;3,69
Total Nacional;01 Andalucía;2019M09;3,77
Total Nacional;01 Andalucía;2019M08;4,12
Total Nacional;01 Andalucía;2019M07;3,9
Total Nacional;01 Andalucía;2019M06;3,11
Total Nacional;01 Andalucía;2019M05;3,22
Total Nacional;01 Andalucía;2019M04;3,83
Total Nacional;01 Andalucía;2019M03;5,12
Total Nacional;01 Andalucía;2019M02;6,13
