Comunidades y Ciudades Autónomas;Concepto turístico;RESIDENCIA/ORIGEN;Periodo;Total
Total Nacional;Pernoctaciones;Total;2022M03;1.393.563
Total Nacional;Pernoctaciones;Total;2022M02;1.336.135
Total Nacional;Pernoctaciones;Total;2022M01;1.252.438
Total Nacional;Pernoctaciones;Total;2021M12;1.268.135
Total Nacional;Pernoctaciones;Total;2021M11;1.161.157
Total Nacional;Pernoctaciones;Total;2021M10;2.342.474
Total Nacional;Pernoctaciones;Total;2021M09;3.965.041
Total Nacional;Pernoctaciones;Total;2021M08;10.246.063
Total Nacional;Pernoctaciones;Total;2021M07;7.129.022
Total Nacional;Pernoctaciones;Total;2021M06;3.510.153
Total Nacional;Pernoctaciones;Total;2021M05;1.757.585
Total Nacional;Pernoctaciones;Total;2021M04;1.367.430
Total Nacional;Pernoctaciones;Total;2021M03;896.910
Total Nacional;Pernoctaciones;Total;2021M02;506.810
Total Nacional;Pernoctaciones;Total;2021M01;546.250
Total Nacional;Pernoctaciones;Total;2020M12;621.807
Total Nacional;Pernoctaciones;Total;2020M11;539.761
Total Nacional;Pernoctaciones;Total;2020M10;1.132.501
Total Nacional;Pernoctaciones;Total;2020M09;2.444.351
Total Nacional;Pernoctaciones;Total;2020M08;7.150.388
Total Nacional;Pernoctaciones;Total;2020M07;5.009.658
Total Nacional;Pernoctaciones;Total;2020M06;1.276.431
Total Nacional;Pernoctaciones;Total;2020M05;114.020
Total Nacional;Pernoctaciones;Total;2020M04;0
Total Nacional;Pernoctaciones;Total;2020M03;735.620
Total Nacional;Pernoctaciones;Total;2020M02;1.351.686
Total Nacional;Pernoctaciones;Total;2020M01;1.189.124
Total Nacional;Pernoctaciones;Total;2019M12;1.239.648
Total Nacional;Pernoctaciones;Total;2019M11;1.187.609
Total Nacional;Pernoctaciones;Total;2019M10;1.961.457
Total Nacional;Pernoctaciones;Total;2019M09;3.903.995
Total Nacional;Pernoctaciones;Total;2019M08;10.915.513
Total Nacional;Pernoctaciones;Total;2019M07;7.961.345
Total Nacional;Pernoctaciones;Total;2019M06;4.456.247
Total Nacional;Pernoctaciones;Total;2019M05;2.668.449
Total Nacional;Pernoctaciones;Total;2019M04;2.678.460
Total Nacional;Pernoctaciones;Total;2019M03;1.482.760
Total Nacional;Pernoctaciones;Total;2019M02;1.167.242
Total Nacional;Pernoctaciones;Total;2019M01;1.097.811
Total Nacional;Pernoctaciones;Total;2018M12;1.179.053
Total Nacional;Pernoctaciones;Total;2018M11;1.124.485
Total Nacional;Pernoctaciones;Total;2018M10;1.958.045
Total Nacional;Pernoctaciones;Total;2018M09;3.768.210
Total Nacional;Pernoctaciones;Total;2018M08;10.538.184
Total Nacional;Pernoctaciones;Total;2018M07;7.797.459
Total Nacional;Pernoctaciones;Total;2018M06;3.866.059
Total Nacional;Pernoctaciones;Total;2018M05;2.641.848
Total Nacional;Pernoctaciones;Total;2018M04;2.189.274
Total Nacional;Pernoctaciones;Total;2018M03;1.894.500
Total Nacional;Pernoctaciones;Total;2018M02;1.113.666
Total Nacional;Pernoctaciones;Total;2018M01;1.087.933
Total Nacional;Pernoctaciones;Total;2017M12;1.128.895
Total Nacional;Pernoctaciones;Total;2017M11;1.016.641
Total Nacional;Pernoctaciones;Total;2017M10;1.859.162
Total Nacional;Pernoctaciones;Total;2017M09;3.640.673
Total Nacional;Pernoctaciones;Total;2017M08;10.549.812
Total Nacional;Pernoctaciones;Total;2017M07;7.947.659
Total Nacional;Pernoctaciones;Total;2017M06;3.857.572
Total Nacional;Pernoctaciones;Total;2017M05;2.410.895
Total Nacional;Pernoctaciones;Total;2017M04;2.830.916
Total Nacional;Pernoctaciones;Total;2017M03;1.301.501
Total Nacional;Pernoctaciones;Total;2017M02;1.098.996
Total Nacional;Pernoctaciones;Total;2017M01;1.069.081
Total Nacional;Pernoctaciones;Residentes en España;2023M02;369.946
Total Nacional;Pernoctaciones;Residentes en España;2023M01;276.710
Total Nacional;Pernoctaciones;Residentes en España;2022M12;456.059
Total Nacional;Pernoctaciones;Residentes en España;2022M11;428.566
Total Nacional;Pernoctaciones;Residentes en España;2022M10;1.170.851
Total Nacional;Pernoctaciones;Residentes en España;2022M09;2.391.508
Total Nacional;Pernoctaciones;Residentes en España;2022M08;7.283.538
Total Nacional;Pernoctaciones;Residentes en España;2022M07;5.545.914
Total Nacional;Pernoctaciones;Residentes en España;2022M06;3.218.743
Total Nacional;Pernoctaciones;Residentes en España;2022M05;1.718.666
Total Nacional;Pernoctaciones;Residentes en España;2022M04;2.040.827
Total Nacional;Pernoctaciones;Residentes en España;2022M03;484.719
Total Nacional;Pernoctaciones;Residentes en España;2022M02;386.677
Total Nacional;Pernoctaciones;Residentes en España;2022M01;308.395
Total Nacional;Pernoctaciones;Residentes en España;2021M12;441.101
Total Nacional;Pernoctaciones;Residentes en España;2021M11;403.709
Total Nacional;Pernoctaciones;Residentes en España;2021M10;1.203.579
Total Nacional;Pernoctaciones;Residentes en España;2021M09;2.477.934
Total Nacional;Pernoctaciones;Residentes en España;2021M08;7.798.588
Total Nacional;Pernoctaciones;Residentes en España;2021M07;5.441.908
Total Nacional;Pernoctaciones;Residentes en España;2021M06;2.877.698
Total Nacional;Pernoctaciones;Residentes en España;2021M05;1.371.458
Total Nacional;Pernoctaciones;Residentes en España;2021M04;1.043.039
Total Nacional;Pernoctaciones;Residentes en España;2021M03;538.759
Total Nacional;Pernoctaciones;Residentes en España;2021M02;150.397
Total Nacional;Pernoctaciones;Residentes en España;2021M01;147.195
Total Nacional;Pernoctaciones;Residentes en España;2020M12;261.765
Total Nacional;Pernoctaciones;Residentes en España;2020M11;.
Total Nacional;Pernoctaciones;Residentes en España;2020M10;743.894
Total Nacional;Pernoctaciones;Residentes en España;2020M09;1.991.224
Total Nacional;Pernoctaciones;Residentes en España;2020M08;6.141.853
Total Nacional;Pernoctaciones;Residentes en España;2020M07;3.886.363
Total Nacional;Pernoctaciones;Residentes en España;2020M06;1.104.780
Total Nacional;Pernoctaciones;Residentes en España;2020M05;.
Total Nacional;Pernoctaciones;Residentes en España;2020M04;0
Total Nacional;Pernoctaciones;Residentes en España;2020M03;146.158
Total Nacional;Pernoctaciones;Residentes en España;2020M02;334.750
Total Nacional;Pernoctaciones;Residentes en España;2020M01;235.723
Total Nacional;Pernoctaciones;Residentes en España;2019M12;381.109
Total Nacional;Pernoctaciones;Residentes en España;2019M11;398.360
Total Nacional;Pernoctaciones;Residentes en España;2019M10;736.328
Total Nacional;Pernoctaciones;Residentes en España;2019M09;1.989.116
Total Nacional;Pernoctaciones;Residentes en España;2019M08;6.919.951
Total Nacional;Pernoctaciones;Residentes en España;2019M07;4.465.988
Total Nacional;Pernoctaciones;Residentes en España;2019M06;2.510.960
Total Nacional;Pernoctaciones;Residentes en España;2019M05;1.242.988
Total Nacional;Pernoctaciones;Residentes en España;2019M04;1.639.947
Total Nacional;Pernoctaciones;Residentes en España;2019M03;522.391
Total Nacional;Pernoctaciones;Residentes en España;2019M02;275.920
Total Nacional;Pernoctaciones;Residentes en España;2019M01;209.739
Total Nacional;Pernoctaciones;Residentes en España;2018M12;375.020
Total Nacional;Pernoctaciones;Residentes en España;2018M11;374.508
Total Nacional;Pernoctaciones;Residentes en España;2018M10;759.124
Total Nacional;Pernoctaciones;Residentes en España;2018M09;2.003.360
Total Nacional;Pernoctaciones;Residentes en España;2018M08;6.525.288
Total Nacional;Pernoctaciones;Residentes en España;2018M07;4.195.703
Total Nacional;Pernoctaciones;Residentes en España;2018M06;2.112.307
Total Nacional;Pernoctaciones;Residentes en España;2018M05;1.151.786
Total Nacional;Pernoctaciones;Residentes en España;2018M04;1.159.160
Total Nacional;Pernoctaciones;Residentes en España;2018M03;926.348
Total Nacional;Pernoctaciones;Residentes en España;2018M02;226.719
Total Nacional;Pernoctaciones;Residentes en España;2018M01;212.882
Total Nacional;Pernoctaciones;Residentes en España;2017M12;379.174
Total Nacional;Pernoctaciones;Residentes en España;2017M11;294.181
Total Nacional;Pernoctaciones;Residentes en España;2017M10;775.104
Total Nacional;Pernoctaciones;Residentes en España;2017M09;1.809.117
Total Nacional;Pernoctaciones;Residentes en España;2017M08;6.461.788
Total Nacional;Pernoctaciones;Residentes en España;2017M07;4.355.268
Total Nacional;Pernoctaciones;Residentes en España;2017M06;2.125.488
Total Nacional;Pernoctaciones;Residentes en España;2017M05;1.126.830
Total Nacional;Pernoctaciones;Residentes en España;2017M04;1.751.680
