Comunidades y Ciudades Autónomas;Concepto turístico;RESIDENCIA/ORIGEN;Periodo;Total
12 Galicia;Viajero;Total;2019M08;113.298
12 Galicia;Viajero;Total;2019M07;75.487
12 Galicia;Viajero;Total;2019M06;31.913
12 Galicia;Viajero;Total;2019M05;8.367
12 Galicia;Viajero;Total;2019M04;5.029
12 Galicia;Viajero;Total;2019M03;666
12 Galicia;Viajero;Total;2019M02;212
12 Galicia;Viajero;Total;2019M01;108
12 Galicia;Viajero;Total;2018M12;208
12 Galicia;Viajero;Total;2018M11;293
12 Galicia;Viajero;Total;2018M10;1.626
12 Galicia;Viajero;Total;2018M09;30.264
12 Galicia;Viajero;Total;2018M08;117.518
12 Galicia;Viajero;Total;2018M07;75.673
12 Galicia;Viajero;Total;2018M06;25.065
12 Galicia;Viajero;Total;2018M05;6.016
12 Galicia;Viajero;Total;2018M04;2.643
12 Galicia;Viajero;Total;2018M03;1.244
12 Galicia;Viajero;Total;2018M02;225
12 Galicia;Viajero;Total;2018M01;111
12 Galicia;Viajero;Total;2017M12;214
12 Galicia;Viajero;Total;2017M11;438
12 Galicia;Viajero;Total;2017M10;2.059
12 Galicia;Viajero;Total;2017M09;22.002
12 Galicia;Viajero;Total;2017M08;115.120
12 Galicia;Viajero;Total;2017M07;81.497
12 Galicia;Viajero;Total;2017M06;29.305
12 Galicia;Viajero;Total;2017M05;6.243
12 Galicia;Viajero;Total;2017M04;6.887
12 Galicia;Viajero;Total;2017M03;669
12 Galicia;Viajero;Total;2017M02;149
12 Galicia;Viajero;Total;2017M01;115
12 Galicia;Viajero;Residentes en España;2023M02;1.024
12 Galicia;Viajero;Residentes en España;2023M01;864
12 Galicia;Viajero;Residentes en España;2022M12;1.189
12 Galicia;Viajero;Residentes en España;2022M11;1.083
12 Galicia;Viajero;Residentes en España;2022M10;1.990
12 Galicia;Viajero;Residentes en España;2022M09;13.879
12 Galicia;Viajero;Residentes en España;2022M08;94.794
12 Galicia;Viajero;Residentes en España;2022M07;74.792
12 Galicia;Viajero;Residentes en España;2022M06;28.616
12 Galicia;Viajero;Residentes en España;2022M05;5.202
12 Galicia;Viajero;Residentes en España;2022M04;6.293
12 Galicia;Viajero;Residentes en España;2022M03;392
12 Galicia;Viajero;Residentes en España;2022M02;755
12 Galicia;Viajero;Residentes en España;2022M01;750
12 Galicia;Viajero;Residentes en España;2021M12;988
12 Galicia;Viajero;Residentes en España;2021M11;1.118
12 Galicia;Viajero;Residentes en España;2021M10;2.176
12 Galicia;Viajero;Residentes en España;2021M09;18.610
12 Galicia;Viajero;Residentes en España;2021M08;107.957
12 Galicia;Viajero;Residentes en España;2021M07;73.337
12 Galicia;Viajero;Residentes en España;2021M06;26.720
12 Galicia;Viajero;Residentes en España;2021M05;5.144
12 Galicia;Viajero;Residentes en España;2021M04;2.749
12 Galicia;Viajero;Residentes en España;2021M03;1.490
12 Galicia;Viajero;Residentes en España;2021M02;85
12 Galicia;Viajero;Residentes en España;2021M01;30
12 Galicia;Viajero;Residentes en España;2020M12;.
12 Galicia;Viajero;Residentes en España;2020M11;238
12 Galicia;Viajero;Residentes en España;2020M10;870
12 Galicia;Viajero;Residentes en España;2020M09;17.797
12 Galicia;Viajero;Residentes en España;2020M08;70.371
12 Galicia;Viajero;Residentes en España;2020M07;62.247
12 Galicia;Viajero;Residentes en España;2020M06;16.104
12 Galicia;Viajero;Residentes en España;2020M05;.
12 Galicia;Viajero;Residentes en España;2020M04;0
12 Galicia;Viajero;Residentes en España;2020M03;15
12 Galicia;Viajero;Residentes en España;2020M02;93
12 Galicia;Viajero;Residentes en España;2020M01;41
12 Galicia;Viajero;Residentes en España;2019M12;181
12 Galicia;Viajero;Residentes en España;2019M11;384
12 Galicia;Viajero;Residentes en España;2019M10;620
12 Galicia;Viajero;Residentes en España;2019M09;17.812
12 Galicia;Viajero;Residentes en España;2019M08;81.351
12 Galicia;Viajero;Residentes en España;2019M07;58.891
12 Galicia;Viajero;Residentes en España;2019M06;24.055
12 Galicia;Viajero;Residentes en España;2019M05;3.496
12 Galicia;Viajero;Residentes en España;2019M04;3.450
12 Galicia;Viajero;Residentes en España;2019M03;389
12 Galicia;Viajero;Residentes en España;2019M02;47
12 Galicia;Viajero;Residentes en España;2019M01;52
12 Galicia;Viajero;Residentes en España;2018M12;62
12 Galicia;Viajero;Residentes en España;2018M11;223
12 Galicia;Viajero;Residentes en España;2018M10;537
12 Galicia;Viajero;Residentes en España;2018M09;18.264
12 Galicia;Viajero;Residentes en España;2018M08;86.213
12 Galicia;Viajero;Residentes en España;2018M07;60.056
12 Galicia;Viajero;Residentes en España;2018M06;17.726
12 Galicia;Viajero;Residentes en España;2018M05;2.084
12 Galicia;Viajero;Residentes en España;2018M04;1.286
12 Galicia;Viajero;Residentes en España;2018M03;991
12 Galicia;Viajero;Residentes en España;2018M02;120
12 Galicia;Viajero;Residentes en España;2018M01;45
12 Galicia;Viajero;Residentes en España;2017M12;138
12 Galicia;Viajero;Residentes en España;2017M11;299
12 Galicia;Viajero;Residentes en España;2017M10;607
12 Galicia;Viajero;Residentes en España;2017M09;10.170
12 Galicia;Viajero;Residentes en España;2017M08;86.150
12 Galicia;Viajero;Residentes en España;2017M07;66.151
12 Galicia;Viajero;Residentes en España;2017M06;19.660
12 Galicia;Viajero;Residentes en España;2017M05;2.755
12 Galicia;Viajero;Residentes en España;2017M04;4.993
12 Galicia;Viajero;Residentes en España;2017M03;401
12 Galicia;Viajero;Residentes en España;2017M02;78
12 Galicia;Viajero;Residentes en España;2017M01;30
12 Galicia;Viajero;Residentes en el Extranjero;2023M02;364
12 Galicia;Viajero;Residentes en el Extranjero;2023M01;137
12 Galicia;Viajero;Residentes en el Extranjero;2022M12;197
12 Galicia;Viajero;Residentes en el Extranjero;2022M11;385
12 Galicia;Viajero;Residentes en el Extranjero;2022M10;2.381
12 Galicia;Viajero;Residentes en el Extranjero;2022M09;13.651
12 Galicia;Viajero;Residentes en el Extranjero;2022M08;31.544
12 Galicia;Viajero;Residentes en el Extranjero;2022M07;16.544
12 Galicia;Viajero;Residentes en el Extranjero;2022M06;9.856
12 Galicia;Viajero;Residentes en el Extranjero;2022M05;4.485
12 Galicia;Viajero;Residentes en el Extranjero;2022M04;2.647
12 Galicia;Viajero;Residentes en el Extranjero;2022M03;639
12 Galicia;Viajero;Residentes en el Extranjero;2022M02;300
12 Galicia;Viajero;Residentes en el Extranjero;2022M01;199
12 Galicia;Viajero;Residentes en el Extranjero;2021M12;113
12 Galicia;Viajero;Residentes en el Extranjero;2021M11;743
12 Galicia;Viajero;Residentes en el Extranjero;2021M10;1.531
12 Galicia;Viajero;Residentes en el Extranjero;2021M09;9.378
12 Galicia;Viajero;Residentes en el Extranjero;2021M08;17.774
12 Galicia;Viajero;Residentes en el Extranjero;2021M07;11.927
12 Galicia;Viajero;Residentes en el Extranjero;2021M06;4.729
12 Galicia;Viajero;Residentes en el Extranjero;2021M05;438
12 Galicia;Viajero;Residentes en el Extranjero;2021M04;191
12 Galicia;Viajero;Residentes en el Extranjero;2021M03;0
12 Galicia;Viajero;Residentes en el Extranjero;2021M02;0
12 Galicia;Viajero;Residentes en el Extranjero;2021M01;0
12 Galicia;Viajero;Residentes en el Extranjero;2020M12;.
12 Galicia;Viajero;Residentes en el Extranjero;2020M11;8
12 Galicia;Viajero;Residentes en el Extranjero;2020M10;103
12 Galicia;Viajero;Residentes en el Extranjero;2020M09;1.758
12 Galicia;Viajero;Residentes en el Extranjero;2020M08;6.547
12 Galicia;Viajero;Residentes en el Extranjero;2020M07;4.886
12 Galicia;Viajero;Residentes en el Extranjero;2020M06;234
12 Galicia;Viajero;Residentes en el Extranjero;2020M05;.
12 Galicia;Viajero;Residentes en el Extranjero;2020M04;0
12 Galicia;Viajero;Residentes en el Extranjero;2020M03;0
12 Galicia;Viajero;Residentes en el Extranjero;2020M02;143
12 Galicia;Viajero;Residentes en el Extranjero;2020M01;166
12 Galicia;Viajero;Residentes en el Extranjero;2019M12;176
12 Galicia;Viajero;Residentes en el Extranjero;2019M11;175
12 Galicia;Viajero;Residentes en el Extranjero;2019M10;1.291
12 Galicia;Viajero;Residentes en el Extranjero;2019M09;12.704
12 Galicia;Viajero;Residentes en el Extranjero;2019M08;31.948
12 Galicia;Viajero;Residentes en el Extranjero;2019M07;16.596
12 Galicia;Viajero;Residentes en el Extranjero;2019M06;7.858
12 Galicia;Viajero;Residentes en el Extranjero;2019M05;4.871
12 Galicia;Viajero;Residentes en el Extranjero;2019M04;1.579
12 Galicia;Viajero;Residentes en el Extranjero;2019M03;277
12 Galicia;Viajero;Residentes en el Extranjero;2019M02;165
12 Galicia;Viajero;Residentes en el Extranjero;2019M01;56
12 Galicia;Viajero;Residentes en el Extranjero;2018M12;146
12 Galicia;Viajero;Residentes en el Extranjero;2018M11;70
12 Galicia;Viajero;Residentes en el Extranjero;2018M10;1.088
12 Galicia;Viajero;Residentes en el Extranjero;2018M09;12.000
12 Galicia;Viajero;Residentes en el Extranjero;2018M08;31.304
12 Galicia;Viajero;Residentes en el Extranjero;2018M07;15.616
12 Galicia;Viajero;Residentes en el Extranjero;2018M06;7.339
12 Galicia;Viajero;Residentes en el Extranjero;2018M05;3.932
12 Galicia;Viajero;Residentes en el Extranjero;2018M04;1.356
12 Galicia;Viajero;Residentes en el Extranjero;2018M03;253
12 Galicia;Viajero;Residentes en el Extranjero;2018M02;104
12 Galicia;Viajero;Residentes en el Extranjero;2018M01;65
12 Galicia;Viajero;Residentes en el Extranjero;2017M12;75
12 Galicia;Viajero;Residentes en el Extranjero;2017M11;138
12 Galicia;Viajero;Residentes en el Extranjero;2017M10;1.452
12 Galicia;Viajero;Residentes en el Extranjero;2017M09;11.831
12 Galicia;Viajero;Residentes en el Extranjero;2017M08;28.970
12 Galicia;Viajero;Residentes en el Extranjero;2017M07;15.346
12 Galicia;Viajero;Residentes en el Extranjero;2017M06;9.645
12 Galicia;Viajero;Residentes en el Extranjero;2017M05;3.488
12 Galicia;Viajero;Residentes en el Extranjero;2017M04;1.894
12 Galicia;Viajero;Residentes en el Extranjero;2017M03;267
12 Galicia;Viajero;Residentes en el Extranjero;2017M02;71
12 Galicia;Viajero;Residentes en el Extranjero;2017M01;85
12 Galicia;Pernoctaciones;Total;2023M02;2.282
12 Galicia;Pernoctaciones;Total;2023M01;1.527
12 Galicia;Pernoctaciones;Total;2022M12;2.439
12 Galicia;Pernoctaciones;Total;2022M11;2.353
12 Galicia;Pernoctaciones;Total;2022M10;7.147
12 Galicia;Pernoctaciones;Total;2022M09;81.412
12 Galicia;Pernoctaciones;Total;2022M08;469.527
12 Galicia;Pernoctaciones;Total;2022M07;359.632
12 Galicia;Pernoctaciones;Total;2022M06;112.173
12 Galicia;Pernoctaciones;Total;2022M05;32.530
12 Galicia;Pernoctaciones;Total;2022M04;20.536
12 Galicia;Pernoctaciones;Total;2022M03;1.908
12 Galicia;Pernoctaciones;Total;2022M02;1.818
12 Galicia;Pernoctaciones;Total;2022M01;1.407
12 Galicia;Pernoctaciones;Total;2021M12;1.775
12 Galicia;Pernoctaciones;Total;2021M11;2.968
12 Galicia;Pernoctaciones;Total;2021M10;6.868
12 Galicia;Pernoctaciones;Total;2021M09;107.439
12 Galicia;Pernoctaciones;Total;2021M08;450.846
12 Galicia;Pernoctaciones;Total;2021M07;335.930
12 Galicia;Pernoctaciones;Total;2021M06;97.712
12 Galicia;Pernoctaciones;Total;2021M05;10.496
12 Galicia;Pernoctaciones;Total;2021M04;6.088
12 Galicia;Pernoctaciones;Total;2021M03;2.763
12 Galicia;Pernoctaciones;Total;2021M02;192
12 Galicia;Pernoctaciones;Total;2021M01;66
12 Galicia;Pernoctaciones;Total;2020M12;.
12 Galicia;Pernoctaciones;Total;2020M11;486
12 Galicia;Pernoctaciones;Total;2020M10;1.851
12 Galicia;Pernoctaciones;Total;2020M09;82.303
12 Galicia;Pernoctaciones;Total;2020M08;307.340
12 Galicia;Pernoctaciones;Total;2020M07;263.312
12 Galicia;Pernoctaciones;Total;2020M06;51.272
12 Galicia;Pernoctaciones;Total;2020M05;.
12 Galicia;Pernoctaciones;Total;2020M04;0
12 Galicia;Pernoctaciones;Total;2020M03;23
12 Galicia;Pernoctaciones;Total;2020M02;393
12 Galicia;Pernoctaciones;Total;2020M01;368
12 Galicia;Pernoctaciones;Total;2019M12;682
12 Galicia;Pernoctaciones;Total;2019M11;1.032
12 Galicia;Pernoctaciones;Total;2019M10;3.336
12 Galicia;Pernoctaciones;Total;2019M09;106.795
12 Galicia;Pernoctaciones;Total;2019M08;426.105
12 Galicia;Pernoctaciones;Total;2019M07;311.878
12 Galicia;Pernoctaciones;Total;2019M06;99.033
12 Galicia;Pernoctaciones;Total;2019M05;16.826
12 Galicia;Pernoctaciones;Total;2019M04;12.240
12 Galicia;Pernoctaciones;Total;2019M03;1.227
12 Galicia;Pernoctaciones;Total;2019M02;322
12 Galicia;Pernoctaciones;Total;2019M01;226
12 Galicia;Pernoctaciones;Total;2018M12;424
12 Galicia;Pernoctaciones;Total;2018M11;582
12 Galicia;Pernoctaciones;Total;2018M10;4.001
12 Galicia;Pernoctaciones;Total;2018M09;91.806
12 Galicia;Pernoctaciones;Total;2018M08;434.259
12 Galicia;Pernoctaciones;Total;2018M07;302.665
12 Galicia;Pernoctaciones;Total;2018M06;84.550
12 Galicia;Pernoctaciones;Total;2018M05;15.637
12 Galicia;Pernoctaciones;Total;2018M04;5.990
12 Galicia;Pernoctaciones;Total;2018M03;2.993
12 Galicia;Pernoctaciones;Total;2018M02;474
12 Galicia;Pernoctaciones;Total;2018M01;186
12 Galicia;Pernoctaciones;Total;2017M12;465
12 Galicia;Pernoctaciones;Total;2017M11;891
12 Galicia;Pernoctaciones;Total;2017M10;4.114
12 Galicia;Pernoctaciones;Total;2017M09;70.820
12 Galicia;Pernoctaciones;Total;2017M08;421.053
12 Galicia;Pernoctaciones;Total;2017M07;313.381
12 Galicia;Pernoctaciones;Total;2017M06;87.585
12 Galicia;Pernoctaciones;Total;2017M05;13.892
12 Galicia;Pernoctaciones;Total;2017M04;16.726
12 Galicia;Pernoctaciones;Total;2017M03;1.124
12 Galicia;Pernoctaciones;Total;2017M02;259
12 Galicia;Pernoctaciones;Total;2017M01;251
12 Galicia;Pernoctaciones;Residentes en España;2023M02;1.554
12 Galicia;Pernoctaciones;Residentes en España;2023M01;1.336
12 Galicia;Pernoctaciones;Residentes en España;2022M12;2.098
12 Galicia;Pernoctaciones;Residentes en España;2022M11;1.865
12 Galicia;Pernoctaciones;Residentes en España;2022M10;3.079
12 Galicia;Pernoctaciones;Residentes en España;2022M09;54.493
12 Galicia;Pernoctaciones;Residentes en España;2022M08;397.102
12 Galicia;Pernoctaciones;Residentes en España;2022M07;322.090
12 Galicia;Pernoctaciones;Residentes en España;2022M06;92.308
12 Galicia;Pernoctaciones;Residentes en España;2022M05;23.155
12 Galicia;Pernoctaciones;Residentes en España;2022M04;15.418
12 Galicia;Pernoctaciones;Residentes en España;2022M03;724
12 Galicia;Pernoctaciones;Residentes en España;2022M02;1.267
12 Galicia;Pernoctaciones;Residentes en España;2022M01;1.086
12 Galicia;Pernoctaciones;Residentes en España;2021M12;1.600
12 Galicia;Pernoctaciones;Residentes en España;2021M11;1.747
12 Galicia;Pernoctaciones;Residentes en España;2021M10;4.041
12 Galicia;Pernoctaciones;Residentes en España;2021M09;83.856
12 Galicia;Pernoctaciones;Residentes en España;2021M08;402.618
12 Galicia;Pernoctaciones;Residentes en España;2021M07;309.554
12 Galicia;Pernoctaciones;Residentes en España;2021M06;86.446
12 Galicia;Pernoctaciones;Residentes en España;2021M05;9.492
12 Galicia;Pernoctaciones;Residentes en España;2021M04;5.730
12 Galicia;Pernoctaciones;Residentes en España;2021M03;2.763
12 Galicia;Pernoctaciones;Residentes en España;2021M02;192
12 Galicia;Pernoctaciones;Residentes en España;2021M01;66
12 Galicia;Pernoctaciones;Residentes en España;2020M12;.
12 Galicia;Pernoctaciones;Residentes en España;2020M11;455
12 Galicia;Pernoctaciones;Residentes en España;2020M10;1.626
12 Galicia;Pernoctaciones;Residentes en España;2020M09;77.200
12 Galicia;Pernoctaciones;Residentes en España;2020M08;289.778
12 Galicia;Pernoctaciones;Residentes en España;2020M07;251.034
12 Galicia;Pernoctaciones;Residentes en España;2020M06;48.825
12 Galicia;Pernoctaciones;Residentes en España;2020M05;.
12 Galicia;Pernoctaciones;Residentes en España;2020M04;0
12 Galicia;Pernoctaciones;Residentes en España;2020M03;23
12 Galicia;Pernoctaciones;Residentes en España;2020M02;195
12 Galicia;Pernoctaciones;Residentes en España;2020M01;152
12 Galicia;Pernoctaciones;Residentes en España;2019M12;.
12 Galicia;Pernoctaciones;Residentes en España;2019M11;707
12 Galicia;Pernoctaciones;Residentes en España;2019M10;1.208
12 Galicia;Pernoctaciones;Residentes en España;2019M09;77.635
12 Galicia;Pernoctaciones;Residentes en España;2019M08;347.344
12 Galicia;Pernoctaciones;Residentes en España;2019M07;271.095
12 Galicia;Pernoctaciones;Residentes en España;2019M06;83.672
12 Galicia;Pernoctaciones;Residentes en España;2019M05;8.853
12 Galicia;Pernoctaciones;Residentes en España;2019M04;9.297
12 Galicia;Pernoctaciones;Residentes en España;2019M03;746
12 Galicia;Pernoctaciones;Residentes en España;2019M02;137
12 Galicia;Pernoctaciones;Residentes en España;2019M01;150
12 Galicia;Pernoctaciones;Residentes en España;2018M12;139
12 Galicia;Pernoctaciones;Residentes en España;2018M11;392
12 Galicia;Pernoctaciones;Residentes en España;2018M10;2.046
12 Galicia;Pernoctaciones;Residentes en España;2018M09;62.260
12 Galicia;Pernoctaciones;Residentes en España;2018M08;353.616
12 Galicia;Pernoctaciones;Residentes en España;2018M07;264.295
12 Galicia;Pernoctaciones;Residentes en España;2018M06;68.362
12 Galicia;Pernoctaciones;Residentes en España;2018M05;8.855
12 Galicia;Pernoctaciones;Residentes en España;2018M04;3.447
12 Galicia;Pernoctaciones;Residentes en España;2018M03;2.485
12 Galicia;Pernoctaciones;Residentes en España;2018M02;304
12 Galicia;Pernoctaciones;Residentes en España;2018M01;47
12 Galicia;Pernoctaciones;Residentes en España;2017M12;318
12 Galicia;Pernoctaciones;Residentes en España;2017M11;568
12 Galicia;Pernoctaciones;Residentes en España;2017M10;1.454
12 Galicia;Pernoctaciones;Residentes en España;2017M09;46.308
12 Galicia;Pernoctaciones;Residentes en España;2017M08;352.287
12 Galicia;Pernoctaciones;Residentes en España;2017M07;275.975
12 Galicia;Pernoctaciones;Residentes en España;2017M06;68.944
12 Galicia;Pernoctaciones;Residentes en España;2017M05;7.432
12 Galicia;Pernoctaciones;Residentes en España;2017M04;13.490
12 Galicia;Pernoctaciones;Residentes en España;2017M03;689
12 Galicia;Pernoctaciones;Residentes en España;2017M02;101
12 Galicia;Pernoctaciones;Residentes en España;2017M01;43
12 Galicia;Pernoctaciones;Residentes en el Extranjero;2023M02;728
12 Galicia;Pernoctaciones;Residentes en el Extranjero;2023M01;191
12 Galicia;Pernoctaciones;Residentes en el Extranjero;2022M12;340
12 Galicia;Pernoctaciones;Residentes en el Extranjero;2022M11;488
12 Galicia;Pernoctaciones;Residentes en el Extranjero;2022M10;4.068
12 Galicia;Pernoctaciones;Residentes en el Extranjero;2022M09;26.919
12 Galicia;Pernoctaciones;Residentes en el Extranjero;2022M08;72.425
12 Galicia;Pernoctaciones;Residentes en el Extranjero;2022M07;37.542
12 Galicia;Pernoctaciones;Residentes en el Extranjero;2022M06;19.865
12 Galicia;Pernoctaciones;Residentes en el Extranjero;2022M05;9.375
12 Galicia;Pernoctaciones;Residentes en el Extranjero;2022M04;5.118
12 Galicia;Pernoctaciones;Residentes en el Extranjero;2022M03;1.184
12 Galicia;Pernoctaciones;Residentes en el Extranjero;2022M02;551
12 Galicia;Pernoctaciones;Residentes en el Extranjero;2022M01;321
12 Galicia;Pernoctaciones;Residentes en el Extranjero;2021M12;176
12 Galicia;Pernoctaciones;Residentes en el Extranjero;2021M11;1.221
12 Galicia;Pernoctaciones;Residentes en el Extranjero;2021M10;2.827
12 Galicia;Pernoctaciones;Residentes en el Extranjero;2021M09;23.583
12 Galicia;Pernoctaciones;Residentes en el Extranjero;2021M08;48.227
12 Galicia;Pernoctaciones;Residentes en el Extranjero;2021M07;26.375
12 Galicia;Pernoctaciones;Residentes en el Extranjero;2021M06;11.266
12 Galicia;Pernoctaciones;Residentes en el Extranjero;2021M05;1.004
12 Galicia;Pernoctaciones;Residentes en el Extranjero;2021M04;358
12 Galicia;Pernoctaciones;Residentes en el Extranjero;2021M03;0
12 Galicia;Pernoctaciones;Residentes en el Extranjero;2021M02;0
12 Galicia;Pernoctaciones;Residentes en el Extranjero;2021M01;0
12 Galicia;Pernoctaciones;Residentes en el Extranjero;2020M12;.
12 Galicia;Pernoctaciones;Residentes en el Extranjero;2020M11;31
12 Galicia;Pernoctaciones;Residentes en el Extranjero;2020M10;225
12 Galicia;Pernoctaciones;Residentes en el Extranjero;2020M09;5.103
12 Galicia;Pernoctaciones;Residentes en el Extranjero;2020M08;17.562
12 Galicia;Pernoctaciones;Residentes en el Extranjero;2020M07;12.278
12 Galicia;Pernoctaciones;Residentes en el Extranjero;2020M06;2.447
12 Galicia;Pernoctaciones;Residentes en el Extranjero;2020M05;.
12 Galicia;Pernoctaciones;Residentes en el Extranjero;2020M04;0
12 Galicia;Pernoctaciones;Residentes en el Extranjero;2020M03;0
12 Galicia;Pernoctaciones;Residentes en el Extranjero;2020M02;197
12 Galicia;Pernoctaciones;Residentes en el Extranjero;2020M01;216
12 Galicia;Pernoctaciones;Residentes en el Extranjero;2019M12;.
12 Galicia;Pernoctaciones;Residentes en el Extranjero;2019M11;325
12 Galicia;Pernoctaciones;Residentes en el Extranjero;2019M10;2.128
12 Galicia;Pernoctaciones;Residentes en el Extranjero;2019M09;29.160
12 Galicia;Pernoctaciones;Residentes en el Extranjero;2019M08;78.760
12 Galicia;Pernoctaciones;Residentes en el Extranjero;2019M07;40.783
12 Galicia;Pernoctaciones;Residentes en el Extranjero;2019M06;15.361
12 Galicia;Pernoctaciones;Residentes en el Extranjero;2019M05;7.974
12 Galicia;Pernoctaciones;Residentes en el Extranjero;2019M04;2.942
12 Galicia;Pernoctaciones;Residentes en el Extranjero;2019M03;481
12 Galicia;Pernoctaciones;Residentes en el Extranjero;2019M02;185
12 Galicia;Pernoctaciones;Residentes en el Extranjero;2019M01;76
12 Galicia;Pernoctaciones;Residentes en el Extranjero;2018M12;285
12 Galicia;Pernoctaciones;Residentes en el Extranjero;2018M11;190
12 Galicia;Pernoctaciones;Residentes en el Extranjero;2018M10;1.956
12 Galicia;Pernoctaciones;Residentes en el Extranjero;2018M09;29.546
12 Galicia;Pernoctaciones;Residentes en el Extranjero;2018M08;80.643
12 Galicia;Pernoctaciones;Residentes en el Extranjero;2018M07;38.370
12 Galicia;Pernoctaciones;Residentes en el Extranjero;2018M06;16.188
12 Galicia;Pernoctaciones;Residentes en el Extranjero;2018M05;6.782
12 Galicia;Pernoctaciones;Residentes en el Extranjero;2018M04;2.543
12 Galicia;Pernoctaciones;Residentes en el Extranjero;2018M03;508
12 Galicia;Pernoctaciones;Residentes en el Extranjero;2018M02;170
12 Galicia;Pernoctaciones;Residentes en el Extranjero;2018M01;139
12 Galicia;Pernoctaciones;Residentes en el Extranjero;2017M12;146
12 Galicia;Pernoctaciones;Residentes en el Extranjero;2017M11;322
12 Galicia;Pernoctaciones;Residentes en el Extranjero;2017M10;2.660
12 Galicia;Pernoctaciones;Residentes en el Extranjero;2017M09;24.512
12 Galicia;Pernoctaciones;Residentes en el Extranjero;2017M08;68.766
12 Galicia;Pernoctaciones;Residentes en el Extranjero;2017M07;37.406
12 Galicia;Pernoctaciones;Residentes en el Extranjero;2017M06;18.641
12 Galicia;Pernoctaciones;Residentes en el Extranjero;2017M05;6.460
12 Galicia;Pernoctaciones;Residentes en el Extranjero;2017M04;3.237
12 Galicia;Pernoctaciones;Residentes en el Extranjero;2017M03;435
12 Galicia;Pernoctaciones;Residentes en el Extranjero;2017M02;158
12 Galicia;Pernoctaciones;Residentes en el Extranjero;2017M01;208
13 Madrid, Comunidad de;Viajero;Total;2023M02;12.819
13 Madrid, Comunidad de;Viajero;Total;2023M01;13.791
13 Madrid, Comunidad de;Viajero;Total;2022M12;13.207
13 Madrid, Comunidad de;Viajero;Total;2022M11;12.159
13 Madrid, Comunidad de;Viajero;Total;2022M10;21.835
13 Madrid, Comunidad de;Viajero;Total;2022M09;20.923
13 Madrid, Comunidad de;Viajero;Total;2022M08;42.597
13 Madrid, Comunidad de;Viajero;Total;2022M07;43.503
13 Madrid, Comunidad de;Viajero;Total;2022M06;34.933
13 Madrid, Comunidad de;Viajero;Total;2022M05;23.289
13 Madrid, Comunidad de;Viajero;Total;2022M04;21.218
13 Madrid, Comunidad de;Viajero;Total;2022M03;13.617
13 Madrid, Comunidad de;Viajero;Total;2022M02;14.685
13 Madrid, Comunidad de;Viajero;Total;2022M01;11.504
13 Madrid, Comunidad de;Viajero;Total;2021M12;13.471
13 Madrid, Comunidad de;Viajero;Total;2021M11;12.035
13 Madrid, Comunidad de;Viajero;Total;2021M10;22.312
13 Madrid, Comunidad de;Viajero;Total;2021M09;23.092
13 Madrid, Comunidad de;Viajero;Total;2021M08;40.847
13 Madrid, Comunidad de;Viajero;Total;2021M07;37.583
13 Madrid, Comunidad de;Viajero;Total;2021M06;28.530
13 Madrid, Comunidad de;Viajero;Total;2021M05;25.232
13 Madrid, Comunidad de;Viajero;Total;2021M04;20.985
13 Madrid, Comunidad de;Viajero;Total;2021M03;21.773
13 Madrid, Comunidad de;Viajero;Total;2021M02;9.674
13 Madrid, Comunidad de;Viajero;Total;2021M01;4.992
13 Madrid, Comunidad de;Viajero;Total;2020M12;12.198
13 Madrid, Comunidad de;Viajero;Total;2020M11;11.761
13 Madrid, Comunidad de;Viajero;Total;2020M10;11.868
13 Madrid, Comunidad de;Viajero;Total;2020M09;16.961
13 Madrid, Comunidad de;Viajero;Total;2020M08;34.823
13 Madrid, Comunidad de;Viajero;Total;2020M07;35.424
13 Madrid, Comunidad de;Viajero;Total;2020M06;17.378
13 Madrid, Comunidad de;Viajero;Total;2020M05;2.784
13 Madrid, Comunidad de;Viajero;Total;2020M04;0
13 Madrid, Comunidad de;Viajero;Total;2020M03;4.854
13 Madrid, Comunidad de;Viajero;Total;2020M02;12.417
13 Madrid, Comunidad de;Viajero;Total;2020M01;9.804
13 Madrid, Comunidad de;Viajero;Total;2019M12;14.387
13 Madrid, Comunidad de;Viajero;Total;2019M11;12.833
13 Madrid, Comunidad de;Viajero;Total;2019M10;20.482
13 Madrid, Comunidad de;Viajero;Total;2019M09;23.709
13 Madrid, Comunidad de;Viajero;Total;2019M08;43.417
13 Madrid, Comunidad de;Viajero;Total;2019M07;39.761
13 Madrid, Comunidad de;Viajero;Total;2019M06;37.634
13 Madrid, Comunidad de;Viajero;Total;2019M05;25.060
13 Madrid, Comunidad de;Viajero;Total;2019M04;19.943
13 Madrid, Comunidad de;Viajero;Total;2019M03;16.586
13 Madrid, Comunidad de;Viajero;Total;2019M02;11.644
13 Madrid, Comunidad de;Viajero;Total;2019M01;8.590
13 Madrid, Comunidad de;Viajero;Total;2018M12;12.570
13 Madrid, Comunidad de;Viajero;Total;2018M11;12.241
13 Madrid, Comunidad de;Viajero;Total;2018M10;18.035
13 Madrid, Comunidad de;Viajero;Total;2018M09;24.890
13 Madrid, Comunidad de;Viajero;Total;2018M08;42.150
13 Madrid, Comunidad de;Viajero;Total;2018M07;39.633
13 Madrid, Comunidad de;Viajero;Total;2018M06;28.405
13 Madrid, Comunidad de;Viajero;Total;2018M05;20.017
