Comunidades y Ciudades Autónomas;Viajeros y pernoctaciones;Residencia;Periodo;Total
07 Castilla y León;Pernoctaciones;Residentes en España;2019M08;309.267
07 Castilla y León;Pernoctaciones;Residentes en España;2019M07;187.421
07 Castilla y León;Pernoctaciones;Residentes en España;2019M06;130.433
07 Castilla y León;Pernoctaciones;Residentes en España;2019M05;126.748
07 Castilla y León;Pernoctaciones;Residentes en España;2019M04;162.004
07 Castilla y León;Pernoctaciones;Residentes en España;2019M03;113.427
07 Castilla y León;Pernoctaciones;Residentes en España;2019M02;68.994
07 Castilla y León;Pernoctaciones;Residentes en España;2019M01;50.825
07 Castilla y León;Pernoctaciones;Residentes en España;2018M12;176.175
07 Castilla y León;Pernoctaciones;Residentes en España;2018M11;124.613
07 Castilla y León;Pernoctaciones;Residentes en España;2018M10;150.503
07 Castilla y León;Pernoctaciones;Residentes en España;2018M09;132.234
07 Castilla y León;Pernoctaciones;Residentes en España;2018M08;295.079
07 Castilla y León;Pernoctaciones;Residentes en España;2018M07;165.756
07 Castilla y León;Pernoctaciones;Residentes en España;2018M06;129.378
07 Castilla y León;Pernoctaciones;Residentes en España;2018M05;106.415
07 Castilla y León;Pernoctaciones;Residentes en España;2018M04;133.158
07 Castilla y León;Pernoctaciones;Residentes en España;2018M03;149.025
07 Castilla y León;Pernoctaciones;Residentes en España;2018M02;73.181
07 Castilla y León;Pernoctaciones;Residentes en España;2018M01;47.997
07 Castilla y León;Pernoctaciones;Residentes en España;2017M12;165.673
07 Castilla y León;Pernoctaciones;Residentes en España;2017M11;92.805
07 Castilla y León;Pernoctaciones;Residentes en España;2017M10;141.571
07 Castilla y León;Pernoctaciones;Residentes en España;2017M09;119.488
07 Castilla y León;Pernoctaciones;Residentes en España;2017M08;273.553
07 Castilla y León;Pernoctaciones;Residentes en España;2017M07;167.775
07 Castilla y León;Pernoctaciones;Residentes en España;2017M06;109.859
07 Castilla y León;Pernoctaciones;Residentes en España;2017M05;97.210
07 Castilla y León;Pernoctaciones;Residentes en España;2017M04;188.398
07 Castilla y León;Pernoctaciones;Residentes en España;2017M03;97.503
07 Castilla y León;Pernoctaciones;Residentes en España;2017M02;72.712
07 Castilla y León;Pernoctaciones;Residentes en España;2017M01;51.459
07 Castilla y León;Pernoctaciones;Residentes en el Extranjero;2023M11;5.815
07 Castilla y León;Pernoctaciones;Residentes en el Extranjero;2023M10;10.965
07 Castilla y León;Pernoctaciones;Residentes en el Extranjero;2023M09;19.407
07 Castilla y León;Pernoctaciones;Residentes en el Extranjero;2023M08;31.604
07 Castilla y León;Pernoctaciones;Residentes en el Extranjero;2023M07;23.543
07 Castilla y León;Pernoctaciones;Residentes en el Extranjero;2023M06;15.631
07 Castilla y León;Pernoctaciones;Residentes en el Extranjero;2023M05;14.755
07 Castilla y León;Pernoctaciones;Residentes en el Extranjero;2023M04;13.600
07 Castilla y León;Pernoctaciones;Residentes en el Extranjero;2023M03;8.400
07 Castilla y León;Pernoctaciones;Residentes en el Extranjero;2023M02;10.580
07 Castilla y León;Pernoctaciones;Residentes en el Extranjero;2023M01;5.750
07 Castilla y León;Pernoctaciones;Residentes en el Extranjero;2022M12;4.312
07 Castilla y León;Pernoctaciones;Residentes en el Extranjero;2022M11;6.178
07 Castilla y León;Pernoctaciones;Residentes en el Extranjero;2022M10;13.491
07 Castilla y León;Pernoctaciones;Residentes en el Extranjero;2022M09;17.050
07 Castilla y León;Pernoctaciones;Residentes en el Extranjero;2022M08;23.750
07 Castilla y León;Pernoctaciones;Residentes en el Extranjero;2022M07;15.564
07 Castilla y León;Pernoctaciones;Residentes en el Extranjero;2022M06;12.282
07 Castilla y León;Pernoctaciones;Residentes en el Extranjero;2022M05;12.726
07 Castilla y León;Pernoctaciones;Residentes en el Extranjero;2022M04;8.659
07 Castilla y León;Pernoctaciones;Residentes en el Extranjero;2022M03;3.668
07 Castilla y León;Pernoctaciones;Residentes en el Extranjero;2022M02;3.027
07 Castilla y León;Pernoctaciones;Residentes en el Extranjero;2022M01;1.693
07 Castilla y León;Pernoctaciones;Residentes en el Extranjero;2021M12;2.485
07 Castilla y León;Pernoctaciones;Residentes en el Extranjero;2021M11;3.572
07 Castilla y León;Pernoctaciones;Residentes en el Extranjero;2021M10;8.855
07 Castilla y León;Pernoctaciones;Residentes en el Extranjero;2021M09;10.624
07 Castilla y León;Pernoctaciones;Residentes en el Extranjero;2021M08;13.274
07 Castilla y León;Pernoctaciones;Residentes en el Extranjero;2021M07;7.455
07 Castilla y León;Pernoctaciones;Residentes en el Extranjero;2021M06;2.922
07 Castilla y León;Pernoctaciones;Residentes en el Extranjero;2021M05;1.126
07 Castilla y León;Pernoctaciones;Residentes en el Extranjero;2021M04;420
07 Castilla y León;Pernoctaciones;Residentes en el Extranjero;2021M03;1.115
07 Castilla y León;Pernoctaciones;Residentes en el Extranjero;2021M02;905
07 Castilla y León;Pernoctaciones;Residentes en el Extranjero;2021M01;607
07 Castilla y León;Pernoctaciones;Residentes en el Extranjero;2020M12;1.055
07 Castilla y León;Pernoctaciones;Residentes en el Extranjero;2020M11;.
07 Castilla y León;Pernoctaciones;Residentes en el Extranjero;2020M10;2.615
07 Castilla y León;Pernoctaciones;Residentes en el Extranjero;2020M09;3.467
07 Castilla y León;Pernoctaciones;Residentes en el Extranjero;2020M08;6.378
07 Castilla y León;Pernoctaciones;Residentes en el Extranjero;2020M07;6.430
07 Castilla y León;Pernoctaciones;Residentes en el Extranjero;2020M06;398
07 Castilla y León;Pernoctaciones;Residentes en el Extranjero;2020M05;.
07 Castilla y León;Pernoctaciones;Residentes en el Extranjero;2020M04;.
07 Castilla y León;Pernoctaciones;Residentes en el Extranjero;2020M03;1.098
07 Castilla y León;Pernoctaciones;Residentes en el Extranjero;2020M02;2.797
07 Castilla y León;Pernoctaciones;Residentes en el Extranjero;2020M01;2.125
07 Castilla y León;Pernoctaciones;Residentes en el Extranjero;2019M12;5.001
07 Castilla y León;Pernoctaciones;Residentes en el Extranjero;2019M11;3.846
07 Castilla y León;Pernoctaciones;Residentes en el Extranjero;2019M10;11.889
07 Castilla y León;Pernoctaciones;Residentes en el Extranjero;2019M09;16.453
07 Castilla y León;Pernoctaciones;Residentes en el Extranjero;2019M08;26.667
07 Castilla y León;Pernoctaciones;Residentes en el Extranjero;2019M07;20.547
07 Castilla y León;Pernoctaciones;Residentes en el Extranjero;2019M06;14.313
07 Castilla y León;Pernoctaciones;Residentes en el Extranjero;2019M05;15.473
07 Castilla y León;Pernoctaciones;Residentes en el Extranjero;2019M04;11.846
07 Castilla y León;Pernoctaciones;Residentes en el Extranjero;2019M03;4.289
07 Castilla y León;Pernoctaciones;Residentes en el Extranjero;2019M02;1.648
07 Castilla y León;Pernoctaciones;Residentes en el Extranjero;2019M01;1.949
07 Castilla y León;Pernoctaciones;Residentes en el Extranjero;2018M12;4.630
07 Castilla y León;Pernoctaciones;Residentes en el Extranjero;2018M11;3.029
07 Castilla y León;Pernoctaciones;Residentes en el Extranjero;2018M10;10.352
07 Castilla y León;Pernoctaciones;Residentes en el Extranjero;2018M09;16.419
07 Castilla y León;Pernoctaciones;Residentes en el Extranjero;2018M08;31.278
07 Castilla y León;Pernoctaciones;Residentes en el Extranjero;2018M07;19.096
07 Castilla y León;Pernoctaciones;Residentes en el Extranjero;2018M06;12.701
07 Castilla y León;Pernoctaciones;Residentes en el Extranjero;2018M05;15.676
07 Castilla y León;Pernoctaciones;Residentes en el Extranjero;2018M04;9.176
07 Castilla y León;Pernoctaciones;Residentes en el Extranjero;2018M03;5.590
07 Castilla y León;Pernoctaciones;Residentes en el Extranjero;2018M02;2.683
07 Castilla y León;Pernoctaciones;Residentes en el Extranjero;2018M01;2.236
07 Castilla y León;Pernoctaciones;Residentes en el Extranjero;2017M12;3.952
07 Castilla y León;Pernoctaciones;Residentes en el Extranjero;2017M11;2.738
07 Castilla y León;Pernoctaciones;Residentes en el Extranjero;2017M10;11.167
07 Castilla y León;Pernoctaciones;Residentes en el Extranjero;2017M09;16.271
07 Castilla y León;Pernoctaciones;Residentes en el Extranjero;2017M08;21.087
07 Castilla y León;Pernoctaciones;Residentes en el Extranjero;2017M07;14.922
07 Castilla y León;Pernoctaciones;Residentes en el Extranjero;2017M06;12.819
07 Castilla y León;Pernoctaciones;Residentes en el Extranjero;2017M05;13.079
07 Castilla y León;Pernoctaciones;Residentes en el Extranjero;2017M04;7.549
07 Castilla y León;Pernoctaciones;Residentes en el Extranjero;2017M03;3.196
07 Castilla y León;Pernoctaciones;Residentes en el Extranjero;2017M02;2.641
07 Castilla y León;Pernoctaciones;Residentes en el Extranjero;2017M01;1.759
08 Castilla - La Mancha;Viajero;Total;2023M11;26.220
08 Castilla - La Mancha;Viajero;Total;2023M10;35.214
08 Castilla - La Mancha;Viajero;Total;2023M09;34.625
08 Castilla - La Mancha;Viajero;Total;2023M08;42.929
08 Castilla - La Mancha;Viajero;Total;2023M07;41.669
08 Castilla - La Mancha;Viajero;Total;2023M06;36.335
08 Castilla - La Mancha;Viajero;Total;2023M05;30.738
08 Castilla - La Mancha;Viajero;Total;2023M04;39.325
08 Castilla - La Mancha;Viajero;Total;2023M03;26.310
08 Castilla - La Mancha;Viajero;Total;2023M02;21.085
08 Castilla - La Mancha;Viajero;Total;2023M01;17.206
08 Castilla - La Mancha;Viajero;Total;2022M12;33.934
08 Castilla - La Mancha;Viajero;Total;2022M11;26.137
08 Castilla - La Mancha;Viajero;Total;2022M10;34.224
08 Castilla - La Mancha;Viajero;Total;2022M09;32.673
08 Castilla - La Mancha;Viajero;Total;2022M08;43.022
08 Castilla - La Mancha;Viajero;Total;2022M07;43.111
08 Castilla - La Mancha;Viajero;Total;2022M06;28.764
08 Castilla - La Mancha;Viajero;Total;2022M05;25.109
08 Castilla - La Mancha;Viajero;Total;2022M04;30.464
08 Castilla - La Mancha;Viajero;Total;2022M03;18.066
08 Castilla - La Mancha;Viajero;Total;2022M02;15.859
08 Castilla - La Mancha;Viajero;Total;2022M01;10.880
08 Castilla - La Mancha;Viajero;Total;2021M12;28.874
08 Castilla - La Mancha;Viajero;Total;2021M11;22.309
08 Castilla - La Mancha;Viajero;Total;2021M10;32.322
08 Castilla - La Mancha;Viajero;Total;2021M09;25.141
08 Castilla - La Mancha;Viajero;Total;2021M08;35.347
08 Castilla - La Mancha;Viajero;Total;2021M07;35.908
08 Castilla - La Mancha;Viajero;Total;2021M06;23.519
08 Castilla - La Mancha;Viajero;Total;2021M05;12.264
08 Castilla - La Mancha;Viajero;Total;2021M04;7.880
08 Castilla - La Mancha;Viajero;Total;2021M03;5.805
08 Castilla - La Mancha;Viajero;Total;2021M02;1.446
08 Castilla - La Mancha;Viajero;Total;2021M01;905
08 Castilla - La Mancha;Viajero;Total;2020M12;3.939
08 Castilla - La Mancha;Viajero;Total;2020M11;2.261
08 Castilla - La Mancha;Viajero;Total;2020M10;11.940
08 Castilla - La Mancha;Viajero;Total;2020M09;16.745
08 Castilla - La Mancha;Viajero;Total;2020M08;35.700
08 Castilla - La Mancha;Viajero;Total;2020M07;30.702
08 Castilla - La Mancha;Viajero;Total;2020M06;7.130
08 Castilla - La Mancha;Viajero;Total;2020M05;601
08 Castilla - La Mancha;Viajero;Total;2020M04;.
08 Castilla - La Mancha;Viajero;Total;2020M03;3.451
08 Castilla - La Mancha;Viajero;Total;2020M02;16.538
08 Castilla - La Mancha;Viajero;Total;2020M01;11.638
08 Castilla - La Mancha;Viajero;Total;2019M12;30.405
08 Castilla - La Mancha;Viajero;Total;2019M11;28.366
08 Castilla - La Mancha;Viajero;Total;2019M10;26.974
08 Castilla - La Mancha;Viajero;Total;2019M09;25.729
08 Castilla - La Mancha;Viajero;Total;2019M08;37.741
08 Castilla - La Mancha;Viajero;Total;2019M07;30.344
08 Castilla - La Mancha;Viajero;Total;2019M06;30.733
08 Castilla - La Mancha;Viajero;Total;2019M05;25.137
08 Castilla - La Mancha;Viajero;Total;2019M04;27.779
08 Castilla - La Mancha;Viajero;Total;2019M03;25.254
08 Castilla - La Mancha;Viajero;Total;2019M02;18.311
08 Castilla - La Mancha;Viajero;Total;2019M01;12.482
08 Castilla - La Mancha;Viajero;Total;2018M12;31.990
08 Castilla - La Mancha;Viajero;Total;2018M11;27.978
08 Castilla - La Mancha;Viajero;Total;2018M10;30.303
08 Castilla - La Mancha;Viajero;Total;2018M09;28.152
08 Castilla - La Mancha;Viajero;Total;2018M08;32.490
08 Castilla - La Mancha;Viajero;Total;2018M07;28.989
08 Castilla - La Mancha;Viajero;Total;2018M06;27.926
08 Castilla - La Mancha;Viajero;Total;2018M05;21.330
08 Castilla - La Mancha;Viajero;Total;2018M04;24.013
08 Castilla - La Mancha;Viajero;Total;2018M03;26.272
08 Castilla - La Mancha;Viajero;Total;2018M02;15.203
08 Castilla - La Mancha;Viajero;Total;2018M01;10.306
08 Castilla - La Mancha;Viajero;Total;2017M12;29.777
08 Castilla - La Mancha;Viajero;Total;2017M11;19.536
08 Castilla - La Mancha;Viajero;Total;2017M10;24.630
08 Castilla - La Mancha;Viajero;Total;2017M09;23.133
08 Castilla - La Mancha;Viajero;Total;2017M08;30.172
08 Castilla - La Mancha;Viajero;Total;2017M07;29.121
08 Castilla - La Mancha;Viajero;Total;2017M06;27.490
08 Castilla - La Mancha;Viajero;Total;2017M05;22.542
08 Castilla - La Mancha;Viajero;Total;2017M04;30.028
08 Castilla - La Mancha;Viajero;Total;2017M03;20.693
08 Castilla - La Mancha;Viajero;Total;2017M02;15.758
08 Castilla - La Mancha;Viajero;Total;2017M01;10.370
08 Castilla - La Mancha;Viajero;Residentes en España;2023M11;25.415
08 Castilla - La Mancha;Viajero;Residentes en España;2023M10;33.822
08 Castilla - La Mancha;Viajero;Residentes en España;2023M09;33.112
08 Castilla - La Mancha;Viajero;Residentes en España;2023M08;41.028
08 Castilla - La Mancha;Viajero;Residentes en España;2023M07;40.178
08 Castilla - La Mancha;Viajero;Residentes en España;2023M06;34.878
08 Castilla - La Mancha;Viajero;Residentes en España;2023M05;29.382
08 Castilla - La Mancha;Viajero;Residentes en España;2023M04;38.144
08 Castilla - La Mancha;Viajero;Residentes en España;2023M03;25.606
08 Castilla - La Mancha;Viajero;Residentes en España;2023M02;20.339
08 Castilla - La Mancha;Viajero;Residentes en España;2023M01;16.795
08 Castilla - La Mancha;Viajero;Residentes en España;2022M12;33.191
08 Castilla - La Mancha;Viajero;Residentes en España;2022M11;25.440
08 Castilla - La Mancha;Viajero;Residentes en España;2022M10;32.504
08 Castilla - La Mancha;Viajero;Residentes en España;2022M09;31.322
08 Castilla - La Mancha;Viajero;Residentes en España;2022M08;41.399
08 Castilla - La Mancha;Viajero;Residentes en España;2022M07;41.756
08 Castilla - La Mancha;Viajero;Residentes en España;2022M06;27.870
08 Castilla - La Mancha;Viajero;Residentes en España;2022M05;24.155
08 Castilla - La Mancha;Viajero;Residentes en España;2022M04;29.623
08 Castilla - La Mancha;Viajero;Residentes en España;2022M03;17.823
08 Castilla - La Mancha;Viajero;Residentes en España;2022M02;15.507
08 Castilla - La Mancha;Viajero;Residentes en España;2022M01;10.565
08 Castilla - La Mancha;Viajero;Residentes en España;2021M12;28.325
08 Castilla - La Mancha;Viajero;Residentes en España;2021M11;22.054
08 Castilla - La Mancha;Viajero;Residentes en España;2021M10;31.782
08 Castilla - La Mancha;Viajero;Residentes en España;2021M09;24.753
08 Castilla - La Mancha;Viajero;Residentes en España;2021M08;34.790
08 Castilla - La Mancha;Viajero;Residentes en España;2021M07;35.394
08 Castilla - La Mancha;Viajero;Residentes en España;2021M06;23.244
08 Castilla - La Mancha;Viajero;Residentes en España;2021M05;12.146
08 Castilla - La Mancha;Viajero;Residentes en España;2021M04;7.733
08 Castilla - La Mancha;Viajero;Residentes en España;2021M03;5.680
08 Castilla - La Mancha;Viajero;Residentes en España;2021M02;1.366
08 Castilla - La Mancha;Viajero;Residentes en España;2021M01;791
08 Castilla - La Mancha;Viajero;Residentes en España;2020M12;3.658
08 Castilla - La Mancha;Viajero;Residentes en España;2020M11;.
08 Castilla - La Mancha;Viajero;Residentes en España;2020M10;11.545
08 Castilla - La Mancha;Viajero;Residentes en España;2020M09;16.309
08 Castilla - La Mancha;Viajero;Residentes en España;2020M08;35.061
08 Castilla - La Mancha;Viajero;Residentes en España;2020M07;30.297
08 Castilla - La Mancha;Viajero;Residentes en España;2020M06;7.030
08 Castilla - La Mancha;Viajero;Residentes en España;2020M05;.
08 Castilla - La Mancha;Viajero;Residentes en España;2020M04;.
08 Castilla - La Mancha;Viajero;Residentes en España;2020M03;3.180
08 Castilla - La Mancha;Viajero;Residentes en España;2020M02;16.102
08 Castilla - La Mancha;Viajero;Residentes en España;2020M01;10.827
08 Castilla - La Mancha;Viajero;Residentes en España;2019M12;29.345
08 Castilla - La Mancha;Viajero;Residentes en España;2019M11;27.184
08 Castilla - La Mancha;Viajero;Residentes en España;2019M10;25.086
08 Castilla - La Mancha;Viajero;Residentes en España;2019M09;23.100
08 Castilla - La Mancha;Viajero;Residentes en España;2019M08;35.429
08 Castilla - La Mancha;Viajero;Residentes en España;2019M07;28.225
08 Castilla - La Mancha;Viajero;Residentes en España;2019M06;28.605
08 Castilla - La Mancha;Viajero;Residentes en España;2019M05;23.164
08 Castilla - La Mancha;Viajero;Residentes en España;2019M04;26.608
08 Castilla - La Mancha;Viajero;Residentes en España;2019M03;24.771
08 Castilla - La Mancha;Viajero;Residentes en España;2019M02;17.762
08 Castilla - La Mancha;Viajero;Residentes en España;2019M01;11.818
08 Castilla - La Mancha;Viajero;Residentes en España;2018M12;30.993
08 Castilla - La Mancha;Viajero;Residentes en España;2018M11;26.961
08 Castilla - La Mancha;Viajero;Residentes en España;2018M10;28.550
08 Castilla - La Mancha;Viajero;Residentes en España;2018M09;26.546
08 Castilla - La Mancha;Viajero;Residentes en España;2018M08;30.561
08 Castilla - La Mancha;Viajero;Residentes en España;2018M07;26.943
08 Castilla - La Mancha;Viajero;Residentes en España;2018M06;25.719
08 Castilla - La Mancha;Viajero;Residentes en España;2018M05;19.340
08 Castilla - La Mancha;Viajero;Residentes en España;2018M04;22.688
08 Castilla - La Mancha;Viajero;Residentes en España;2018M03;25.379
08 Castilla - La Mancha;Viajero;Residentes en España;2018M02;14.568
08 Castilla - La Mancha;Viajero;Residentes en España;2018M01;9.766
08 Castilla - La Mancha;Viajero;Residentes en España;2017M12;29.281
08 Castilla - La Mancha;Viajero;Residentes en España;2017M11;18.859
08 Castilla - La Mancha;Viajero;Residentes en España;2017M10;23.631
08 Castilla - La Mancha;Viajero;Residentes en España;2017M09;21.711
08 Castilla - La Mancha;Viajero;Residentes en España;2017M08;27.842
08 Castilla - La Mancha;Viajero;Residentes en España;2017M07;27.495
08 Castilla - La Mancha;Viajero;Residentes en España;2017M06;26.239
08 Castilla - La Mancha;Viajero;Residentes en España;2017M05;20.878
08 Castilla - La Mancha;Viajero;Residentes en España;2017M04;28.792
08 Castilla - La Mancha;Viajero;Residentes en España;2017M03;20.062
08 Castilla - La Mancha;Viajero;Residentes en España;2017M02;15.318
08 Castilla - La Mancha;Viajero;Residentes en España;2017M01;9.678
08 Castilla - La Mancha;Viajero;Residentes en el Extranjero;2023M11;805
08 Castilla - La Mancha;Viajero;Residentes en el Extranjero;2023M10;1.392
08 Castilla - La Mancha;Viajero;Residentes en el Extranjero;2023M09;1.513
08 Castilla - La Mancha;Viajero;Residentes en el Extranjero;2023M08;1.902
08 Castilla - La Mancha;Viajero;Residentes en el Extranjero;2023M07;1.491
08 Castilla - La Mancha;Viajero;Residentes en el Extranjero;2023M06;1.457
08 Castilla - La Mancha;Viajero;Residentes en el Extranjero;2023M05;1.356
08 Castilla - La Mancha;Viajero;Residentes en el Extranjero;2023M04;1.181
08 Castilla - La Mancha;Viajero;Residentes en el Extranjero;2023M03;704
08 Castilla - La Mancha;Viajero;Residentes en el Extranjero;2023M02;746
08 Castilla - La Mancha;Viajero;Residentes en el Extranjero;2023M01;411
08 Castilla - La Mancha;Viajero;Residentes en el Extranjero;2022M12;743
08 Castilla - La Mancha;Viajero;Residentes en el Extranjero;2022M11;697
08 Castilla - La Mancha;Viajero;Residentes en el Extranjero;2022M10;1.720
08 Castilla - La Mancha;Viajero;Residentes en el Extranjero;2022M09;1.351
08 Castilla - La Mancha;Viajero;Residentes en el Extranjero;2022M08;1.623
08 Castilla - La Mancha;Viajero;Residentes en el Extranjero;2022M07;1.355
08 Castilla - La Mancha;Viajero;Residentes en el Extranjero;2022M06;894
08 Castilla - La Mancha;Viajero;Residentes en el Extranjero;2022M05;954
08 Castilla - La Mancha;Viajero;Residentes en el Extranjero;2022M04;841
08 Castilla - La Mancha;Viajero;Residentes en el Extranjero;2022M03;243
08 Castilla - La Mancha;Viajero;Residentes en el Extranjero;2022M02;351
08 Castilla - La Mancha;Viajero;Residentes en el Extranjero;2022M01;314
08 Castilla - La Mancha;Viajero;Residentes en el Extranjero;2021M12;548
08 Castilla - La Mancha;Viajero;Residentes en el Extranjero;2021M11;255
08 Castilla - La Mancha;Viajero;Residentes en el Extranjero;2021M10;540
08 Castilla - La Mancha;Viajero;Residentes en el Extranjero;2021M09;388
08 Castilla - La Mancha;Viajero;Residentes en el Extranjero;2021M08;557
08 Castilla - La Mancha;Viajero;Residentes en el Extranjero;2021M07;514
08 Castilla - La Mancha;Viajero;Residentes en el Extranjero;2021M06;275
08 Castilla - La Mancha;Viajero;Residentes en el Extranjero;2021M05;118
08 Castilla - La Mancha;Viajero;Residentes en el Extranjero;2021M04;147
08 Castilla - La Mancha;Viajero;Residentes en el Extranjero;2021M03;125
08 Castilla - La Mancha;Viajero;Residentes en el Extranjero;2021M02;80
08 Castilla - La Mancha;Viajero;Residentes en el Extranjero;2021M01;114
08 Castilla - La Mancha;Viajero;Residentes en el Extranjero;2020M12;281
08 Castilla - La Mancha;Viajero;Residentes en el Extranjero;2020M11;.
08 Castilla - La Mancha;Viajero;Residentes en el Extranjero;2020M10;395
08 Castilla - La Mancha;Viajero;Residentes en el Extranjero;2020M09;435
08 Castilla - La Mancha;Viajero;Residentes en el Extranjero;2020M08;639
08 Castilla - La Mancha;Viajero;Residentes en el Extranjero;2020M07;406
08 Castilla - La Mancha;Viajero;Residentes en el Extranjero;2020M06;100
08 Castilla - La Mancha;Viajero;Residentes en el Extranjero;2020M05;.
08 Castilla - La Mancha;Viajero;Residentes en el Extranjero;2020M04;.
08 Castilla - La Mancha;Viajero;Residentes en el Extranjero;2020M03;271
08 Castilla - La Mancha;Viajero;Residentes en el Extranjero;2020M02;436
08 Castilla - La Mancha;Viajero;Residentes en el Extranjero;2020M01;811
08 Castilla - La Mancha;Viajero;Residentes en el Extranjero;2019M12;1.060
08 Castilla - La Mancha;Viajero;Residentes en el Extranjero;2019M11;1.182
08 Castilla - La Mancha;Viajero;Residentes en el Extranjero;2019M10;1.889
08 Castilla - La Mancha;Viajero;Residentes en el Extranjero;2019M09;2.629
08 Castilla - La Mancha;Viajero;Residentes en el Extranjero;2019M08;2.313
08 Castilla - La Mancha;Viajero;Residentes en el Extranjero;2019M07;2.119
08 Castilla - La Mancha;Viajero;Residentes en el Extranjero;2019M06;2.128
08 Castilla - La Mancha;Viajero;Residentes en el Extranjero;2019M05;1.972
08 Castilla - La Mancha;Viajero;Residentes en el Extranjero;2019M04;1.170
08 Castilla - La Mancha;Viajero;Residentes en el Extranjero;2019M03;484
08 Castilla - La Mancha;Viajero;Residentes en el Extranjero;2019M02;550
08 Castilla - La Mancha;Viajero;Residentes en el Extranjero;2019M01;664
08 Castilla - La Mancha;Viajero;Residentes en el Extranjero;2018M12;998
08 Castilla - La Mancha;Viajero;Residentes en el Extranjero;2018M11;1.017
08 Castilla - La Mancha;Viajero;Residentes en el Extranjero;2018M10;1.753
08 Castilla - La Mancha;Viajero;Residentes en el Extranjero;2018M09;1.606
08 Castilla - La Mancha;Viajero;Residentes en el Extranjero;2018M08;1.929
08 Castilla - La Mancha;Viajero;Residentes en el Extranjero;2018M07;2.046
08 Castilla - La Mancha;Viajero;Residentes en el Extranjero;2018M06;2.208
08 Castilla - La Mancha;Viajero;Residentes en el Extranjero;2018M05;1.991
08 Castilla - La Mancha;Viajero;Residentes en el Extranjero;2018M04;1.325
08 Castilla - La Mancha;Viajero;Residentes en el Extranjero;2018M03;893
08 Castilla - La Mancha;Viajero;Residentes en el Extranjero;2018M02;635
08 Castilla - La Mancha;Viajero;Residentes en el Extranjero;2018M01;541
08 Castilla - La Mancha;Viajero;Residentes en el Extranjero;2017M12;496
08 Castilla - La Mancha;Viajero;Residentes en el Extranjero;2017M11;677
08 Castilla - La Mancha;Viajero;Residentes en el Extranjero;2017M10;998
08 Castilla - La Mancha;Viajero;Residentes en el Extranjero;2017M09;1.422
08 Castilla - La Mancha;Viajero;Residentes en el Extranjero;2017M08;2.330
08 Castilla - La Mancha;Viajero;Residentes en el Extranjero;2017M07;1.626
08 Castilla - La Mancha;Viajero;Residentes en el Extranjero;2017M06;1.251
08 Castilla - La Mancha;Viajero;Residentes en el Extranjero;2017M05;1.664
08 Castilla - La Mancha;Viajero;Residentes en el Extranjero;2017M04;1.236
08 Castilla - La Mancha;Viajero;Residentes en el Extranjero;2017M03;631
08 Castilla - La Mancha;Viajero;Residentes en el Extranjero;2017M02;439
08 Castilla - La Mancha;Viajero;Residentes en el Extranjero;2017M01;692
08 Castilla - La Mancha;Pernoctaciones;Total;2023M11;55.073
08 Castilla - La Mancha;Pernoctaciones;Total;2023M10;78.069
08 Castilla - La Mancha;Pernoctaciones;Total;2023M09;74.655
08 Castilla - La Mancha;Pernoctaciones;Total;2023M08;140.612
08 Castilla - La Mancha;Pernoctaciones;Total;2023M07;104.359
08 Castilla - La Mancha;Pernoctaciones;Total;2023M06;72.895
08 Castilla - La Mancha;Pernoctaciones;Total;2023M05;64.533
08 Castilla - La Mancha;Pernoctaciones;Total;2023M04;97.467
08 Castilla - La Mancha;Pernoctaciones;Total;2023M03;57.465
08 Castilla - La Mancha;Pernoctaciones;Total;2023M02;46.971
08 Castilla - La Mancha;Pernoctaciones;Total;2023M01;38.617
08 Castilla - La Mancha;Pernoctaciones;Total;2022M12;79.953
08 Castilla - La Mancha;Pernoctaciones;Total;2022M11;55.813
08 Castilla - La Mancha;Pernoctaciones;Total;2022M10;77.420
08 Castilla - La Mancha;Pernoctaciones;Total;2022M09;74.934
08 Castilla - La Mancha;Pernoctaciones;Total;2022M08;144.154
08 Castilla - La Mancha;Pernoctaciones;Total;2022M07;109.693
08 Castilla - La Mancha;Pernoctaciones;Total;2022M06;63.072
08 Castilla - La Mancha;Pernoctaciones;Total;2022M05;56.339
08 Castilla - La Mancha;Pernoctaciones;Total;2022M04;74.512
08 Castilla - La Mancha;Pernoctaciones;Total;2022M03;40.420
08 Castilla - La Mancha;Pernoctaciones;Total;2022M02;34.724
08 Castilla - La Mancha;Pernoctaciones;Total;2022M01;26.544
08 Castilla - La Mancha;Pernoctaciones;Total;2021M12;68.916
08 Castilla - La Mancha;Pernoctaciones;Total;2021M11;46.154
08 Castilla - La Mancha;Pernoctaciones;Total;2021M10;73.836
08 Castilla - La Mancha;Pernoctaciones;Total;2021M09;63.643
08 Castilla - La Mancha;Pernoctaciones;Total;2021M08;127.223
08 Castilla - La Mancha;Pernoctaciones;Total;2021M07;100.747
08 Castilla - La Mancha;Pernoctaciones;Total;2021M06;52.379
08 Castilla - La Mancha;Pernoctaciones;Total;2021M05;28.129
08 Castilla - La Mancha;Pernoctaciones;Total;2021M04;22.703
08 Castilla - La Mancha;Pernoctaciones;Total;2021M03;18.381
08 Castilla - La Mancha;Pernoctaciones;Total;2021M02;9.258
08 Castilla - La Mancha;Pernoctaciones;Total;2021M01;8.945
