Comunidades y Ciudades Autónomas;Viajeros y pernoctaciones;Residencia;Periodo;Total
Total Nacional;Viajero;Residentes en el Extranjero;2020M01;19.245
Total Nacional;Viajero;Residentes en el Extranjero;2019M12;27.883
Total Nacional;Viajero;Residentes en el Extranjero;2019M11;29.297
Total Nacional;Viajero;Residentes en el Extranjero;2019M10;82.537
Total Nacional;Viajero;Residentes en el Extranjero;2019M09;122.879
Total Nacional;Viajero;Residentes en el Extranjero;2019M08;142.802
Total Nacional;Viajero;Residentes en el Extranjero;2019M07;125.425
Total Nacional;Viajero;Residentes en el Extranjero;2019M06;104.933
Total Nacional;Viajero;Residentes en el Extranjero;2019M05;96.131
Total Nacional;Viajero;Residentes en el Extranjero;2019M04;73.275
Total Nacional;Viajero;Residentes en el Extranjero;2019M03;39.265
Total Nacional;Viajero;Residentes en el Extranjero;2019M02;25.122
Total Nacional;Viajero;Residentes en el Extranjero;2019M01;18.277
Total Nacional;Viajero;Residentes en el Extranjero;2018M12;24.582
Total Nacional;Viajero;Residentes en el Extranjero;2018M11;27.399
Total Nacional;Viajero;Residentes en el Extranjero;2018M10;83.201
Total Nacional;Viajero;Residentes en el Extranjero;2018M09;112.577
Total Nacional;Viajero;Residentes en el Extranjero;2018M08;139.412
Total Nacional;Viajero;Residentes en el Extranjero;2018M07;126.283
Total Nacional;Viajero;Residentes en el Extranjero;2018M06;98.095
Total Nacional;Viajero;Residentes en el Extranjero;2018M05;102.796
Total Nacional;Viajero;Residentes en el Extranjero;2018M04;69.174
Total Nacional;Viajero;Residentes en el Extranjero;2018M03;40.386
Total Nacional;Viajero;Residentes en el Extranjero;2018M02;23.319
Total Nacional;Viajero;Residentes en el Extranjero;2018M01;17.316
Total Nacional;Viajero;Residentes en el Extranjero;2017M12;22.125
Total Nacional;Viajero;Residentes en el Extranjero;2017M11;26.805
Total Nacional;Viajero;Residentes en el Extranjero;2017M10;76.230
Total Nacional;Viajero;Residentes en el Extranjero;2017M09;109.054
Total Nacional;Viajero;Residentes en el Extranjero;2017M08;124.314
Total Nacional;Viajero;Residentes en el Extranjero;2017M07;114.849
Total Nacional;Viajero;Residentes en el Extranjero;2017M06;90.102
Total Nacional;Viajero;Residentes en el Extranjero;2017M05;86.723
Total Nacional;Viajero;Residentes en el Extranjero;2017M04;66.608
Total Nacional;Viajero;Residentes en el Extranjero;2017M03;30.031
Total Nacional;Viajero;Residentes en el Extranjero;2017M02;22.189
Total Nacional;Viajero;Residentes en el Extranjero;2017M01;15.703
Total Nacional;Pernoctaciones;Total;2023M11;591.996
Total Nacional;Pernoctaciones;Total;2023M10;999.173
